article_ID,relevance_score,justification
c-q3-16,0.95,"This article directly describes an agentic AI system that autonomously writes source code for data analysis in scientific research. The system includes dedicated data analysis engines and coding agents that develop statistical pipelines, execute code for data cleaning, perform statistical testing, and generate visualisations - precisely matching the target system of supporting scientists with data analysis code generation."
c-q3-17,0.35,"This article discusses AI tools for scientific research (including 'Quants' for data analysis), which is partially related to the target system. However, it focuses on philosophical and epistemic risks of AI in science rather than specifically addressing agentic AI systems that help scientists write source code for data analysis."
c-q3-18,0.05,"This article focuses on AI applications in drug discovery and pharmaceutical research (e.g., molecular design, toxicity prediction, drug repurposing). It does not address agentic AI systems or code generation for data analysis. The target system concerns AI that helps scientists write source code, which is entirely different from using AI to discover drugs."
c-q4-01,0.45,"The article studies GitHub Copilot, an AI code generation tool, which partially aligns with the target system's focus on AI for code generation. It mentions data processing (26.7%) as the most common function implemented and Python as a frequently used language, indicating some relevance to data analysis contexts. However, it does not specifically address agentic AI systems for data scientists or natural scientists, nor does it focus on scientific data analysis workflows."
c-q4-05,0.45,"The article studies GitHub Copilot, an AI code generation tool, which partially aligns with the code generation aspect of the target system. However, it focuses on general software development problems rather than specifically addressing agentic AI for data scientists or natural scientists in data analysis contexts."
c-q4-06,0.40,"The article studies GitHub Copilot for code generation in a banking environment, which is partially relevant as it addresses AI code generation tools. However, it focuses on general software engineering tasks performed by engineers at ANZ Bank rather than supporting data scientists or natural scientists with data analysis code specifically."
c-q4-08,0.40,"The article discusses AI-supported code completion tools (like GitHub Copilot) and their limitations in generating idiomatic, non-smelly code, which is partially related to AI code generation. However, it focuses on general software development rather than specifically addressing agentic AI systems for data scientists or natural scientists in data analysis contexts."
c-q4-11,0.35,"The article addresses AI-based code assistants for generating Java methods, which is partially related to AI for code generation. However, it does not specifically target agentic AI systems for data scientists or natural scientists conducting data analysis - it focuses on general software development code generation."
c-q4-12,0.35,"This article discusses GitHub Copilot for C programming education, which is partially related to AI code generation. However, it focuses on general programming education for computer science students rather than agentic AI systems specifically designed to support data scientists and natural scientists in data analysis workflows."
c-q4-13,0.45,"The article directly addresses AI-assisted code generation using LLMs (GitHub Copilot, GPT-3) and measures productivity gains, which is relevant to the target system's need for AI code generation. However, it focuses on general software development tasks (text analysis, CSV, PDF) rather than specifically supporting data scientists or natural scientists in data analysis workflows, making it only partially aligned with the target system."
c-q4-14,0.45,"The article discusses AI-assisted code generation using LLMs and RAG, which is partially relevant to the target system. However, it focuses specifically on general software development and testing (for Xcode/Swift/C++ projects) rather than supporting data scientists or natural scientists in writing code for data analysis."
c-q4-15,0.40,"The article discusses GitHub Copilot, an AI code generation tool, which is partially related to the target system. However, it focuses on general software development productivity rather than specifically addressing agentic AI for data scientists or natural scientists conducting data analysis."
c-q4-16,0.40,"The article discusses AI code generation tools (ChatGPT, GitHub Copilot) which are relevant to the technical capability needed, but it focuses on computing education (how university instructors adapt introductory programming courses) rather than supporting data scientists or natural scientists with data analysis code. It addresses AI for code generation but not in the scientific domain."
c-q4-17,0.40,"This article evaluates GitHub Copilot, a general AI coding assistant, in an enterprise software development context. While it addresses AI-assisted code generation, it focuses on general developer productivity rather than specifically supporting data scientists or natural scientists with data analysis code. The article is partially related as it covers AI for code generation, but lacks focus on scientific/data analysis workflows or agentic AI systems."
c-q4-19,0.30,"The article discusses AI copilots for general software development and code generation, which is partially related to the target system. However, it does not specifically address agentic AI for scientific or data analysis code generation, nor does it target data scientists or natural scientists. It focuses on general developer productivity rather than scientific data analysis workflows."
c-q5-04,0.10,"This paper focuses on a general LLM fine-tuning technique (Transformer Copilot) to improve inference performance through error rectification. While it uses the term 'Copilot' in its name, this refers to an internal model architecture for learning from mistakes, not to code assistance tools. The article does not address agentic AI, code generation, or support for scientific/data analysis tasks - it targets general commonsense and arithmetic reasoning tasks."
c-q5-05,0.50,"The article addresses AI copilots for code generation in data engineering contexts, which partially aligns with the target system's focus on AI for code generation. However, it specifically targets data engineering workflows (pipelines, SQL optimization) rather than supporting data scientists and natural scientists in writing source code for data analysis, making it only partially relevant to the target system."
c-q5-09,0.90,"This article directly addresses challenges faced by data scientists when using AI assistants (ChatGPT) for code generation in data analysis tasks. It provides empirical insights on communication obstacles, code adaptation issues, and design recommendations that are highly relevant to developing agentic AI systems supporting scientific code writing."
c-q5-10,0.95,"This article directly addresses the target system by evaluating LLM-based AI assistants (ChatGPT, Claude, Copilot, Perplexity) for data science code generation, measuring their effectiveness in generating code for data manipulation, statistical analysis, and visualization tasks - exactly the domain of agentic AI systems supporting scientists with data analysis code."
c-q5-11,0.15,"This article focuses on using Microsoft Copilot for thematic analysis (qualitative research method) to analyze interview data in health sciences. While it involves AI for data analysis, it does not address code generation or support for data scientists/natural scientists in writing source code - which is the core focus of the target agentic AI system."
c-q5-12,0.90,"This article directly addresses AI-based assistants for data analysis, covering both planning and execution assistance (code generation) for data scientists. It研究 how AI assistants can help analysts with code execution, statistical modeling decisions, and data analysis workflows in Jupyter notebooks, which aligns closely with the target system of agentic AI for scientific code generation."
c-q5-14,0.15,"This article focuses on AI tools (ChatGPT, Copilot, Gemini) for interpreting medical/biochemical laboratory data in healthcare contexts, not for generating source code. It is unrelated to agentic AI systems that support data scientists or natural scientists in writing code for data analysis, making it only loosely related to general AI applications in data contexts."
c-q5-16,0.20,"This article focuses on integrating LLMs into introductory CS1 programming courses for beginners, not on agentic AI systems for data scientists or natural scientists. While it mentions data science as one project domain, the primary focus is on pedagogy and teaching programming fundamentals to novice students, which differs substantially from the target system of supporting professional scientists with code generation."
c-q5-17,0.20,"This article focuses on general enterprise AI collaboration patterns and human-AI hand-offs in business contexts (HR, finance, government, supply chain), not specifically on agentic AI for scientific code generation or supporting data/natural scientists with data analysis code. While it mentions Microsoft Copilot, the content addresses workflow automation and decision-making transitions rather than code generation for scientific data analysis."
c-q5-19,0.40,"The article studies GitHub Copilot, an AI code generation tool, which is partially related to the target system. While it addresses AI for code generation and mentions data processing as a common function, it focuses on general software development rather than specifically supporting data scientists or natural scientists in scientific/data analysis code generation."
c-q5-20,0.50,"The article discusses using AI tools (ChatGPT, GitHub Copilot) to help scientists and engineers learn programming for data analysis tasks, which partially aligns with the target system. However, it focuses on AI as an educational tool for humans to learn coding rather than on agentic AI systems that autonomously write code for data scientists."
c-q6-09,0.40,"The article discusses GitHub Copilot for code generation, which is tangentially related to the target system. However, it focuses on introductory programming education (CS1 problems) rather than supporting data scientists or natural scientists with data analysis code. The tasks involve basic programming exercises like the rainfall problem, not scientific data analysis workflows."
c-q6-10,0.10,"This article evaluates generative AI tools (ChatGPT, Gemini, Copilot) for educational research within Vietnam's curriculum context. It is not related to agentic AI systems, code generation, or supporting data scientists/natural scientists with writing source code for data analysis. The article focuses on curriculum development, classroom facilities, and assessment in education, which is in a completely different domain from the target system."
c-q6-13,0.15,"This article describes Arxiv Copilot, an LLM system for personalized academic assistance (literature search, paper summarization, research trend analysis), which is unrelated to the target system's focus on agentic AI for generating source code for data analysis. While it targets researchers, it does not address code generation or programming assistance for data science tasks."
c-q6-15,0.30,"This article describes InstructCell, an AI copilot for single-cell biological data analysis that interprets natural language instructions to perform tasks like cell type annotation and gene expression generation. While it is an AI system that assists scientists with data analysis, it does not generate source code—it performs analysis directly through natural language interaction, making it only loosely related to the target system of agentic AI for writing data analysis code."
c-q6-16,0.15,"This article describes Paper Copilot, an LLM system for personalized academic assistance in literature review and research trend analysis. While it targets researchers, it focuses on helping them find and understand academic papers, not on generating source code for data analysis. The system is unrelated to code generation for scientific computing, making it only tangentially relevant to the target system."
c-q6-17,0.15,"This article focuses on AI agents for biomedical knowledge graph checking and scientific claim verification, not on code generation for data analysis. While it involves agentic AI for scientific purposes, it addresses literature review and knowledge verification rather than supporting scientists in writing source code for data analysis tasks."
c-q6-18,0.10,"This article focuses on using LLMs to identify pseudo-information and health misinformation, which is unrelated to the target system's purpose of supporting data scientists and natural scientists in writing source code for data analysis. The article discusses a completely different use case (misinformation detection in health content) rather than code generation or programming assistance for scientific data analysis."
c-q6-19,0.05,"This article describes a medical AI copilot for training novices in flexible fiberoptic laryngoscopy procedures. While it involves machine learning and a 'copilot' system, it is entirely in the medical/healthcare domain and focuses on anatomical image classification for procedure training, not on helping data scientists or natural scientists write source code for data analysis."
c-q6-20,0.15,"This article presents MEDCO, a multi-agent AI system for medical education training (simulating patient interactions, diagnostic skills, and multidisciplinary collaboration for medical students). While it involves agentic AI and multi-agent frameworks, it is entirely focused on medical education and clinical diagnosis training—not on supporting data scientists or natural scientists in writing source code for data analysis. The domain (medicine vs. data science) and purpose (education/training vs. code generation) are fundamentally different from the target system."
g-q1-p1-05,0.35,"This article discusses general human-AI teaming and team-centered AI requirements, but it does not address code generation or data analysis support for scientists. It focuses on collaborative AI in domains like space missions, emergency response, and healthcare, rather than on agentic AI systems that assist with writing source code for scientific data analysis."
g-q1-p1-06,0.30,"The article discusses human-centric AI and explainable AI for scientific/biomedical research (e.g., drug interaction prediction), which partially aligns with AI for scientific purposes. However, it does not address agentic AI, code generation, or supporting scientists in writing source code for data analysis - the core functionality of the target system."
g-q1-p1-08,0.15,"The article discusses agentic AI for enterprise business processes (KYC, FP&A, compliance, procurement) but does not address AI for scientific code generation, data analysis, or supporting data scientists/natural scientists in writing source code. It focuses on general enterprise automation rather than scientific data analysis workflows."
g-q1-p1-09,0.10,"This article is a general business report on human-AI collaboration and workforce skilling in organizations. It does not address agentic AI systems, code generation, or specifically target data scientists or natural scientists. It focuses on organizational conditions for AI adoption and training, which is only loosely related to the target system."
g-q1-p1-11,0.05,"The article discusses a human-AI collaborative decision-making system for retail environments (pricing, inventory, promotions), which is completely unrelated to the target system of agentic AI for supporting data scientists and natural scientists in writing source code for data analysis. While the article does cover relevant technical topics like reinforcement learning and explainability, these are applied in a retail context rather than for code generation in scientific domains."
g-q1-p2-01,0.05,"This article focuses on AI-assisted guidance in virtual escape rooms for entertainment/gaming, examining human-AI collaboration in immersive VR environments. While it discusses AI agents providing adaptive assistance, it does not address code generation, data analysis, or scientific computing support—the core domain of the target system. The application is in an unrelated domain (gaming/VR) rather than supporting data scientists or natural scientists in writing source code."
g-q1-p2-03,0.10,"This article focuses exclusively on AI applications in human resources and talent acquisition, discussing human-AI collaboration in recruitment contexts. It does not address agentic AI systems, code generation, or any support for data scientists or natural scientists in writing source code for data analysis."
g-q1-p2-04,0.15,"This article provides a general overview of human-AI collaboration concepts but does not address agentic AI systems, code generation, or tools specifically for data scientists or natural scientists. While it mentions scientific applications like drug discovery, it focuses on collaboration dynamics rather than AI-assisted programming or data analysis workflows."
g-q1-p2-05,0.10,"This article is a policy paper focused on integrating generative AI into higher education teaching and learning, specifically addressing student capability development and pedagogical practice. It does not address agentic AI systems, code generation, or tools that support data scientists and natural scientists in writing source code for data analysis. The article discusses general AI literacy, digital fluency, and ethical frameworks for education, which are only tangentially related to the target system."
g-q1-p2-06,0.25,"This systematic review examines general human-AI collaboration patterns but does not specifically address agentic AI systems, code generation for data analysis, or scientific workflow support. While it discusses human-AI collaboration broadly and mentions scientific research as a potential application area, it lacks direct relevance to the target system focused on supporting scientists with writing source code for data analysis."
g-q1-p2-07,0.15,"This article focuses on a multi-agent LLM system for requirements analysis and prioritization in organizational AI adoption planning, targeting business stakeholders like executives and compliance officers. It does not address agentic AI for code generation, data scientists, natural scientists, or writing source code for data analysis - making it only loosely related to the target system."
g-q1-p2-08,0.15,"This article discusses general human-AI collaboration in enterprise business contexts (IT operations, customer service, banking, retail, manufacturing) but does not address agentic AI for scientific code generation or support for data scientists/natural scientists. While it mentions 'Agentic AI,' it focuses on business automation and operational workflows rather than data analysis programming tasks."
g-q1-p2-10,0.30,"The article discusses general agentic AI collaboration in virtual environments and mentions AI code generation briefly in a software development context, but it does not specifically address AI systems for data scientists or natural scientists writing data analysis code. It is primarily about virtual reality/metaverse collaboration frameworks rather than scientific code generation."
g-q1-p3-02,0.10,"This article is a general opinion piece about human-AI collaboration in the workplace, focusing on using ChatGPT for brainstorming, writing, and creative tasks. It does not address agentic AI systems, code generation, or support for data scientists and natural scientists in writing source code for data analysis. The content is only tangentially related to the target system as it discusses general AI collaboration concepts without any application to scientific code generation."
g-q1-p3-05,0.15,"This article discusses general human-AI collaboration across healthcare, finance, creative industries, and manufacturing, but does not address agentic AI systems or code generation for data scientists. It focuses on AI-assisted diagnostics, financial analysis, creative tools, and manufacturing cobots rather than AI systems that support scientists in writing source code for data analysis."
g-q1-p3-07,0.10,"This article discusses general human-AI collaboration in customer service and enterprise business contexts, specifically focusing on contact center agents. It does not address agentic AI systems, code generation, or support for data scientists and natural scientists in writing source code for data analysis."
g-q1-p3-08,0.10,"The article focuses on explainable AI (XAI) as a harm-mitigation infrastructure for general human-AI collaboration, not on agentic AI systems for code generation or supporting data scientists in writing source code for data analysis. It addresses general XAI methodology, trust calibration, and governance frameworks, which are only loosely related to the target system of agentic AI for scientific code generation."
g-q1-p3-10,0.10,"This article discusses general human-AI collaboration principles in business contexts (healthcare, aerospace, automotive) but does not address agentic AI systems, code generation, or tools for data scientists and natural scientists. It is only tangentially related as it mentions AI in life sciences but focuses on decision-making rather than code-writing support."
g-q2-p1-01,0.40,"The article discusses AI-assisted coding tools like GitHub Copilot and 'agent mode' for code generation, which is partially relevant to the target system. However, it focuses on general software developer experience and productivity rather than specifically supporting data scientists and natural scientists with data analysis code, making it only medium relevance."
g-q2-p1-03,0.35,"The article discusses LLM-enabled IDEs for code generation, which is partially related to the target system. However, it focuses on general software development (specifically game development) rather than agentic AI systems specifically designed for data scientists or natural scientists in data analysis contexts."
g-q2-p1-06,0.40,"The article discusses GitHub Copilot, an AI code generation tool, which partially aligns with the target system's focus on AI for code generation. However, it is a general-purpose developer tool not specifically designed for data scientists or natural scientists conducting data analysis, making it only partially relevant to the target system."
g-q2-p1-07,0.40,"The article discusses AI coding assistants and context retrieval for code generation, which is partially related to the target system. However, it focuses on general software development use cases (Sourcegraph's coding assistant) rather than specifically addressing agentic AI for data scientists or natural scientists in scientific data analysis contexts."
g-q2-p1-08,0.40,"This article discusses an AI code generation copilot for robotic systems, which is partially related to the target system as it addresses AI-driven code generation. However, it focuses on robotic programming (movement, sensors, task coordination) rather than data analysis code for scientific work, and targets robotic programmers rather than data scientists or natural scientists."
g-q2-p2-02,0.30,"This article discusses general AI tools for developer productivity and software engineering, not specifically agentic AI systems for scientific or data analysis code generation. While it touches on AI code generation, it focuses on measuring productivity gains for general software developers rather than supporting data scientists or natural scientists in writing data analysis code."
