article_ID,relevance_score,justification
c-q1-18,0.78,"The article is strongly related to AI-assisted code generation and explicitly mentions support for researchers and data scientists in analytical environments like Jupyter notebooks. However, it is a broad meta-analysis of programming tools rather than a focused agentic AI system for scientific/data analysis code writing."
c-q1-19,0.72,"The article is about AI-powered programming assistants that generate and complete code, which is relevant to the target system’s code-writing support. However, it focuses on general software developers rather than an agentic AI system specifically designed for data scientists or natural scientists doing data analysis code generation."
c-q1-20,0.72,"The article is about GitHub Copilot, an AI coding assistant that generates and explains source code, which is directly relevant to code-generation support. However, it focuses on general software development rather than an agentic AI system for data scientists or natural scientists doing data analysis code, so the match is partial."
c-q2-01,0.98,"The article directly studies an LLM-based coding assistant integrated into Jupyter to generate and recommend code for data science workflow steps, including alternative recommendations. This closely matches the target system of agentic AI supporting data/natural scientists in writing code for data analysis."
c-q2-02,0.98,"The article presents Data-Copilot, an agentic LLM system that generates and orchestrates code (via reusable interface modules) to perform large-scale data querying, processing, and visualization from natural-language requests. This directly matches the target system’s goal of supporting data/natural scientists in writing source code for data analysis."
c-q2-03,0.92,"The article directly discusses using ChatGPT to assist data scientists with tasks like generating code, debugging, and building analysis applications (e.g., Shiny), which aligns closely with an agentic AI system for scientific/data analysis code generation. While it is a perspective overview rather than a specific agentic system design, it is strongly relevant to the target system’s purpose."
c-q2-04,0.55,"The article focuses on agentic-style AI assistance for writing code in an IDE (LLM-based code completion like GitHub Copilot) and evaluates how usage metrics relate to developer productivity. However, it is not specifically about agentic AI systems that support data/natural scientists for scientific data analysis code generation, but rather general software development productivity."
c-q2-05,0.72,"The article empirically studies how generative AI tools like ChatGPT and Copilot assist software developers (including data scientists) in writing and refactoring code, generating tests, and accelerating development workflows. While it focuses on software engineering rather than explicitly on agentic AI systems for scientific/data analysis code generation, it is strongly relevant to an agentic AI system that supports scientists in coding for data analysis."
c-q2-06,0.98,"The article directly studies AI-powered code assistants for computational notebooks (e.g., Jupyter) and provides design guidance for generating and adapting code for data science tasks. This closely matches the target system of agentic AI that supports data/natural scientists in writing source code for data analysis."
c-q2-07,0.92,The article presents an agentic AI “Bio-Copilot” that uses multi-agent LLM planning and code-writing/execution to automate complex bioinformatics data analysis workflows. This directly aligns with an agentic AI system supporting data/natural scientists in generating and running source code for scientific data analysis.
c-q2-09,0.55,"The article discusses an enterprise AI platform (e.g., Azure AI, Copilot, Power Platform) that supports professionals in healthcare, finance, and scientific research, including code-adjacent productivity and workflow assistance. However, it does not specifically focus on agentic AI systems for generating source code for data analysis, so relevance to the target system is only partial."
c-q2-10,0.98,"The article directly addresses an agentic LLM-based system for AI-assisted data analysis code generation and execution, focusing on steering and verification via interactive task decomposition (Stepwise/Phasewise) and editable assumptions. This closely matches the target system of agentic AI that supports data/natural scientists in writing source code for data analysis."
c-q2-11,0.55,"The article discusses AI copilots (including GitHub Copilot) that assist with writing and debugging code and improving productivity in knowledge work, which is related to agentic AI for scientific/data analysis coding support. However, it focuses broadly on workplace collaboration and governance rather than specifically on agentic AI systems tailored to data scientists/natural scientists or end-to-end scientific code generation workflows."
c-q2-12,0.35,"The article discusses using AI tools (e.g., ChatGPT, Copilot, RapidMiner) to support scientific writing and some aspects of data analysis and literature review, which is adjacent to agentic AI for scientific coding support. However, it does not focus on agentic AI systems that generate or assist with source code for data analysis, so relevance to the target system is only partial."
c-q2-13,0.55,"The article evaluates an AI copilot (M365 Copilot) used in a scientific research organization and discusses its support for tasks including coding/data analysis, along with governance, accuracy, and human oversight. However, it is primarily a qualitative user-perception study rather than research on an agentic AI system specifically designed to generate source code for scientific/data analysis."
c-q2-14,0.55,"The article evaluates ChatGPT as an assistant for generating and refining software models (UML/OCL), directly addressing agentic-style support for scientific/software modeling tasks via code-like artifacts. However, it focuses on software modeling rather than data/scientific code generation for data analysis, so it is only partially aligned with an agentic AI system for data scientists and natural scientists."
c-q2-15,0.98,"The article presents QSP-Copilot, an end-to-end agentic AI platform using multi-agent LLM workflows to automate and assist quantitative systems pharmacology model development, including generating executable models (e.g., SBML/Python) and supporting scientific coding workflows. This directly matches the target system’s goal of agentic AI that helps data/natural scientists write code for data analysis/modeling."
c-q2-16,0.35,"The article discusses generative/agentic AI features in Microsoft Copilot for Teams, including automation and workflow support, which is adjacent to agentic AI for assisting users. However, it focuses on enterprise communication rather than supporting data scientists/natural scientists with code generation for data analysis."
c-q2-17,0.35,"The article discusses agentic human–AI collaboration for decision support in scientific/quantitative domains, including adaptive interaction, explanations, and cognitive modeling. However, it does not focus on agentic AI systems that generate source code for data analysis, which is central to the target system."
c-q2-18,0.35,"The article discusses human-AI collaboration and how AI supports decision-making and productivity in scientific-adjacent domains (e.g., research and healthcare), but it does not focus on agentic AI systems for generating source code for data analysis. Its relevance is mainly conceptual about AI collaboration rather than code-generation for data scientists/natural scientists."
c-q2-19,0.55,"The article evaluates LLM/chatbot use for automating a scientific/data-adjacent classification task (metadata augmentation) and discusses workflow integration and reliability, which relates to agentic AI supporting data scientists. However, it focuses on using chatbots for classification rather than an agentic system specifically for generating and managing source code for data analysis."
c-q2-20,0.55,"The article focuses on an agentic-style AI assistant (Power BI Copilot) that helps users generate SQL/DAX, narratives, and insights for data analysis, which is related to supporting code generation for analytics. However, it is primarily about business intelligence workflows rather than an agentic AI system explicitly designed to support data scientists/natural scientists writing scientific analysis code."
c-q3-01,0.90,"The article directly discusses AI copilots and autonomous/self-learning agents integrated into scientific research workflows, including hypothesis generation, experimental design, and data analysis. This closely aligns with an agentic AI system intended to help data and natural scientists write code for scientific/data analysis."
c-q3-05,0.93,"The article describes an agentic AI copilot integrated with a robotic platform that translates natural-language scientific descriptions into executable code/instructions for automated inorganic material synthesis, including iterative feedback and optimization. This directly aligns with an agentic AI system supporting scientists in writing and executing code for data/experimental analysis workflows."
c-q3-06,0.78,"The article describes an agentic, multi-agent conversational AI (CRESt) that supports scientific workflows in materials science, including iterative feedback loops for image analysis and quantitative tasks. While it focuses on image analysis rather than general code generation for data analysis, it is strongly aligned with agentic AI supporting data/natural scientists."
c-q3-08,0.55,"The article discusses agentic/closed-loop AI for scientific discovery (e.g., reinforcement learning for experiment planning/steering and autonomous hypothesis generation), which is related to agentic AI supporting scientific workflows. However, it does not focus on agentic AI for generating source code for data analysis, so relevance to the target system is only partial."
c-q3-09,0.55,"The article presents PathChat, an agentic-style multimodal AI copilot for pathology that supports interactive natural-language queries over scientific/medical data. However, it focuses on pathology question answering rather than an agentic AI system specifically aimed at helping data scientists and natural scientists write code for data analysis."
c-q3-10,0.95,"The article presents an AI-driven, agentic-style platform (Carbon Copilot/CARCO) that integrates language models, machine learning, and robotic experimentation to generate and optimize scientific code/workflows for data-driven materials synthesis. This directly aligns with an agentic AI system supporting data/natural scientists in writing and executing code for scientific data analysis and experimental design."
c-q3-11,0.95,"The article presents an AI-driven copilot that analyzes scientific manuscripts and code to generate structured Jupyter Notebooks and actionable recommendations, directly supporting scientific/data analysis code workflows. It specifically targets reproducibility by detecting missing hyperparameters, datasets, and code components, aligning closely with an agentic AI system for helping scientists write and validate analysis code."
c-q3-15,0.55,"The article discusses AI as a “scientific copilot” in analytical chemistry, including AI-assisted literature review and manuscript drafting, which is adjacent to agentic AI supporting scientific code/data analysis workflows. However, it focuses mainly on scientific writing and communication rather than agentic systems for generating source code for data analysis."
c-q3-16,0.98,"The article describes an end-to-end agentic AI system that autonomously supports the full scientific workflow—hypothesis generation, experimental design/execution, data analysis via code pipelines, visualization, and manuscript writing—directly matching the target system’s goal of helping data/natural scientists write analysis code. It is highly specific to agentic scientific code generation and execution rather than general AI."
c-q3-17,0.35,"The article is about AI in scientific research and discusses epistemic risks and trust, including AI tools across the research pipeline. However, it does not focus on an agentic AI system for generating source code to support data/natural scientists, so its relevance to the target system is only indirect."
c-q3-18,0.15,"The article reviews AI applications in drug discovery (e.g., protein structure prediction, virtual screening, toxicity prediction) and mentions some Python tools, but it does not focus on an agentic AI system that helps scientists write source code for data analysis. Its relevance is limited to general AI-for-science context rather than agentic code-generation for data analysis."
c-q4-01,0.55,"The article studies GitHub Copilot, an AI tool for source code auto-completion, including how it supports developers with code generation and related limitations. While it is not specific to agentic AI for scientific/natural-science data analysis code generation, it is directly relevant to agentic-style AI assistance for writing code in general."
c-q4-05,0.72,"The article directly concerns agentic/AI-assisted code generation via GitHub Copilot and analyzes real-world issues, causes, and solutions for using an AI pair programmer to generate code. While it is not specific to scientific/natural-science workflows, it is highly relevant to an agentic AI system that supports data scientists and natural scientists in writing analysis code."
c-q4-06,0.78,"The article evaluates GitHub Copilot, an AI tool that generates and assists with writing code, in a corporate engineering setting and measures productivity, code quality, and security. This is directly relevant to an agentic AI system supporting data/natural scientists with scientific/data analysis code generation, though it focuses on general software engineering rather than specifically scientific data analysis workflows."
c-q4-08,0.78,"The article directly studies AI-supported code generation via tools like GitHub Copilot and proposes a taxonomy of abstraction levels for software engineering tasks. While it focuses on general software development rather than explicitly data/scientific analysis code, it is strongly relevant to an agentic AI system that helps data scientists and natural scientists write analysis code."
c-q4-11,0.78,"The article directly evaluates AI-based code assistants (Copilot, Tabnine, ChatGPT, Bard) for generating Java method implementations, including correctness and integration into real codebases with dependencies. This closely matches the target system’s goal of agentic AI supporting scientists/data scientists in writing code for analysis, though it focuses on general software code generation rather than explicitly scientific/data-analysis workflows."
c-q4-12,0.55,"The article evaluates GitHub Copilot, an AI code-assistance tool, in a programming education setting and discusses its effects on independent problem-solving and ethics. While it is not about an agentic AI system for scientific/data analysis code generation, it is directly related to AI-assisted code writing and limitations in complex programming tasks."
c-q4-13,0.78,"The article directly studies LLM-based AI assistants for generating and supporting code (Python tasks) via inline autocomplete and conversational interfaces, measuring productivity and quality. While it focuses on general software development rather than explicitly data/natural science workflows, it is highly relevant to an agentic AI system that helps scientists write analysis code."
c-q4-14,0.90,"The article presents an agentic AI-assisted system (Copilot for Testing) that uses context-based RAG and LLMs to generate tests, detect bugs, and suggest fixes synchronized with codebase updates. This directly aligns with agentic AI supporting data/scientific code development workflows, though it focuses on software testing rather than data science specifically."
c-q4-15,0.55,"The article focuses on agentic/AI-assisted code generation via GitHub Copilot and discusses best practices and security for producing code, which is adjacent to an agentic AI system for scientific/data analysis coding. However, it is centered on general software engineering rather than supporting data scientists/natural scientists specifically for scientific data analysis."
c-q4-16,0.55,"The article focuses on AI code generation tools (e.g., ChatGPT, GitHub Copilot) and how instructors adapt programming courses, which is related to agentic AI for scientific/data analysis code generation. However, it is primarily about computing education and academic integrity rather than an agentic AI system that supports data/natural scientists writing analysis code."
c-q4-17,0.78,"The article evaluates and deploys an AI coding assistant (GitHub Copilot) to improve developer productivity, including metrics like acceptance rates and developer satisfaction. While it is not specific to scientific/natural-science workflows, it directly concerns agentic-style support for writing code for data analysis/engineering tasks in an enterprise setting."
c-q4-19,0.55,"The article discusses AI copilots for generating and assisting with software code using LLMs, which is related to agentic AI for code generation. However, it focuses on general software development rather than specifically supporting data scientists/natural scientists for scientific or data analysis coding."
c-q5-04,0.35,"The article proposes an agentic-style “Pilot-Copilot” framework for improving LLM inference via learned correction from a mistake log, which is related to AI systems that assist code generation. However, it is not specifically about agentic AI for data scientists/natural scientists writing scientific/data-analysis code, and the experiments focus on general reasoning tasks rather than scientific programming workflows."
c-q5-05,0.92,"The article directly evaluates LLM-based AI copilots for generating and optimizing code in cloud data engineering tasks (e.g., pipeline scaffolding, SQL optimization, IAM/compliance code), including metrics and risks like hallucination and governance. This closely matches an agentic AI system aimed at supporting data/natural scientists in writing source code for data analysis, especially in scientific/data engineering workflows."
c-q5-09,0.92,"The article directly studies conversational/agentic LLM assistants (ChatGPT) for data science workflows, focusing on how they generate and adapt Python code for analysis tasks. It provides design recommendations for improving agentic support to data scientists, including context management, planning/feedback loops, and code validation—highly aligned with an agentic AI system for scientific/data analysis code generation."
c-q5-10,0.98,"The article directly evaluates LLM-based AI assistants for generating data science code (Python) across analytical, algorithm, and visualization tasks, measuring success rate, efficiency, and output quality. This closely matches the target agentic AI system goal of supporting data scientists/natural scientists in writing code for data analysis."
c-q5-11,0.86,"The article directly evaluates an agentic/LLM tool (Microsoft Copilot) for generating qualitative thematic analysis outputs from datasets, focusing on reliability, accuracy, and transparency—key concerns for agentic AI supporting scientific/data analysis code and workflows. While it targets qualitative analysis rather than code generation specifically, it is strongly relevant to an agentic AI system that assists data scientists and natural scientists in producing analysis artifacts."
c-q5-12,0.98,"The article directly studies an LLM-based, notebook-integrated AI assistant for data analysis, focusing specifically on agentic planning support alongside execution assistance. It provides design guidelines for how such assistants should help data/natural scientists write and use code during analysis workflows."
c-q5-14,0.25,"The article evaluates how well conversational AI tools (ChatGPT, Copilot, Gemini) interpret biochemical laboratory data, which is related to AI assistance for scientific/medical analysis. However, it does not focus on agentic AI systems for generating or supporting source code for data analysis, so relevance to the target system is limited."
c-q5-16,0.78,"The article directly discusses integrating LLMs (e.g., GitHub Copilot/ChatGPT) into programming instruction to help students generate and modify code, including in data science projects. While it focuses on education rather than an agentic AI system for scientists’ code generation, it is strongly relevant to agentic/LLM-assisted scientific/data analysis coding workflows."
c-q5-17,0.55,"The article focuses on human–AI hand-offs using Copilot-style agents in enterprise workflows, including confidence thresholds, governance, and feedback loops that are relevant to agentic AI supporting scientific/data analysis coding. However, it does not specifically address agentic AI for generating source code for data analysis by data/natural scientists."
c-q5-19,0.55,"The article studies GitHub Copilot, an AI tool for autocompleting/generating source code in IDEs, including how it supports developers with code generation tasks. While it is not specifically focused on agentic AI for scientific/natural-scientist data analysis code generation, it is directly relevant to AI-assisted code generation workflows that could underpin such an agentic system."
c-q5-20,0.95,"The article directly discusses using LLM-based AI tools (e.g., ChatGPT, GitHub Copilot) to help scientists and engineers learn and generate/modify code for data analysis tasks. This closely matches the target agentic AI system goal of supporting data scientists and natural scientists in writing source code for scientific/data analysis."
c-q6-09,0.55,"The article evaluates GitHub Copilot (an agentic-style code generation assistant) for generating and improving code, tests, and explanations in a programming course. While it is not specifically about scientific/natural-science data analysis code generation, it is directly relevant to agentic AI support for writing source code for analysis tasks."
c-q6-10,0.55,"The article evaluates generative AI tools (ChatGPT, Gemini, Copilot) for supporting parts of the scientific research workflow, including drafting and even data-analysis-related tasks, with an emphasis on accuracy and structured prompting. However, it is focused on educational research content rather than an agentic AI system specifically designed to help data/natural scientists generate analysis code."
c-q6-13,0.55,"The article presents an agentic LLM system (Arxiv Copilot) for personalized academic assistance using retrieval, self-evolving thought, and efficient deployment, aimed at helping researchers work with scientific literature. However, it is focused on literature review/chat rather than supporting data scientists/natural scientists specifically for writing code for data analysis."
c-q6-15,0.78,"The article presents InstructCell, an instruction-following multi-modal AI copilot for single-cell RNA-seq analysis tasks (cell type annotation, pseudo-cell generation, drug sensitivity prediction) using natural language. While it focuses on scientific analysis rather than explicitly generating code for data scientists, it is directly aligned with agentic AI support for scientific workflows and analysis."
c-q6-16,0.35,"The article presents an agentic-style LLM system (Paper Copilot) for personalized scientific literature assistance using retrieval, self-evolution, and efficient deployment. However, it focuses on literature Q&A and research support rather than agentic AI for generating source code for data analysis, which is central to the target system."
c-q6-17,0.55,"The article is about an agentic AI system for biomedical scientific tasks, using LLM-driven agents with knowledge graphs and literature retrieval to verify claims and check knowledge. While it is not specifically about agentic AI for generating data-analysis code, it is directly relevant to agentic AI supporting scientific workflows and tool-using agents."
c-q6-18,0.35,"The article evaluates large language models (ChatGPT/Copilot/Gemini/Claude) for detecting pseudo-scientific health information, which is related to using agentic/AI tools to support scientific information assessment. However, it does not focus on agentic AI for generating data-analysis code for scientists, so relevance to the target system is only partial."
c-q6-19,0.55,"The article describes an AI “copilot” that provides real-time guidance to novices during a scientific/medical procedure using machine learning models and a local web server, which is related to agentic AI support for scientific workflows. However, it focuses on training for flexible laryngoscopy rather than on agentic AI for generating data-analysis code for data scientists/natural scientists."
c-q6-20,0.55,"The article proposes MEDCO, a multi-agent, agentic AI copilot that supports learners (medical students) through interactive case-based diagnosis and feedback, which is conceptually aligned with agentic AI for scientific/data analysis code generation. However, it focuses on medical education and clinical reasoning rather than helping data/natural scientists write source code for data analysis."
g-q1-p1-05,0.55,"The article focuses on agentic human-AI teaming and technical requirements (e.g., communication, situation awareness, decision-making) for hybrid multi-team systems, which is related to agentic AI for scientific/data analysis support. However, it does not specifically address agentic AI for generating source code for data analysis by data/natural scientists."
g-q1-p1-06,0.35,"The article discusses explainable, human-centric AI for high-risk scientific/medical decision support, including methods that help users understand model outputs. However, it does not focus on agentic AI systems that generate source code for data analysis, so its relevance to the target system is only partial."
g-q1-p1-08,0.55,"The article discusses agentic AI and autonomous workflows in enterprise settings, which is related to agentic AI systems. However, it focuses on business process automation and startup/market trends rather than supporting data scientists/natural scientists with code generation for data analysis."
g-q1-p1-09,0.15,"The text discusses general human–AI co-learning and AI coaching in workplaces, but it does not focus on agentic AI for generating source code for data analysis. It is only loosely related to supporting data scientists/natural scientists with coding workflows."
g-q1-p1-11,0.55,"The article describes an agentic human-in-the-loop AI framework for prescriptive scientific/operational decision support (RL, explainability, fuzzy smoothing, bias mitigation) using real data. However, it is focused on retail decision-making rather than supporting data/natural scientists with code generation for data analysis, so it is only partially relevant to the target agentic AI system."
g-q1-p2-01,0.35,"The article studies an AI agent that provides adaptive, real-time guidance in a virtual escape room, focusing on human–AI collaboration and user experience evaluation. However, it is not about agentic AI for generating source code for scientific/data analysis, so its relevance to the target system is only indirect."
g-q1-p2-03,0.05,"The text discusses human-AI collaboration in business recruitment and ethics, not an agentic AI system for generating code for data analysis by data/natural scientists. It provides general conceptual guidance rather than methods or tools for scientific/data analysis code generation."
g-q1-p2-04,0.15,"The article discusses general human-AI collaboration concepts and examples in domains like healthcare and drug discovery, but it does not focus on agentic AI systems for generating scientific/data analysis code. There is no clear emphasis on supporting data scientists/natural scientists with code-writing or agentic workflows."
g-q1-p2-05,0.55,"The article focuses on integrating generative AI into higher education teaching and assessment, including guidance on human-AI collaboration and data/AI literacy. However, it does not specifically address an agentic AI system for generating source code for data analysis, so relevance to the target system is only partial."
g-q1-p2-06,0.15,"The article is about human–AI collaboration and evaluates performance effects in experiments, but it does not focus on agentic AI systems for generating source code for data analysis. It is only indirectly related to supporting scientific workflows, with no emphasis on code generation for data scientists/natural scientists."
g-q1-p2-07,0.72,"The article studies an LLM-based multi-agent system with human-in-the-loop collaboration to support requirements analysis for organizational AI adoption, including iterative refinement and prioritization. While it focuses on planning/requirements rather than generating scientific/data-analysis code, it is still directly about agentic AI workflows that assist domain experts in producing structured outputs."
g-q1-p2-08,0.35,"The article discusses agentic AI systems and human-AI collaboration, including agents that take actions and automate workflows, which is adjacent to agentic support for scientific/data analysis coding. However, it is focused on workplace/IT operations and does not specifically address agentic AI for generating source code for data analysis by data or natural scientists."
g-q1-p2-10,0.35,"The article discusses agentic generative AI and human-AI collaboration, including examples where AI agents generate code for software development. However, it is largely focused on virtual/metaverse collaboration and workplace concepts rather than an agentic AI system specifically aimed at helping data scientists and natural scientists write code for data analysis."
g-q1-p3-02,0.15,"The article discusses human-AI collaboration and using generative AI tools for writing and brainstorming, but it does not focus on agentic AI systems that help scientists generate data-analysis code. Its relevance to the target system is indirect and centered on workplace collaboration rather than code generation for scientific workflows."
g-q1-p3-05,0.25,"The article discusses human-AI collaboration in domains like healthcare and finance, including AI-assisted analysis, but it does not focus on an agentic AI system that helps data/natural scientists write source code for data analysis. Its relevance is limited to general AI augmentation rather than code-generation for scientific workflows."
g-q1-p3-07,0.12,"The text discusses general human-AI collaboration for enterprise tasks like contact center assistance and report generation, but it does not focus on agentic AI systems for generating source code for scientific/data analysis. Any connection to data analysis is indirect and not about code-writing or agentic programming support for data scientists."
g-q1-p3-08,0.78,"The article directly addresses agentic/interactive AI for scientific and data-analysis contexts in the broader sense of supporting human–AI collaboration, focusing on iterative, role-sensitive explanation loops (explain→feedback→update→govern) and governance-aware accountability. While it is not specifically about code generation for data analysis, it is strongly relevant to building agentic AI systems that help domain experts perform and validate analysis through interactive, auditable explanation and feedback mechanisms."
g-q1-p3-10,0.15,"The article discusses human-AI collaboration and governance in high-stakes domains, but it does not focus on agentic AI systems that generate source code for data analysis. Its relevance to supporting data/natural scientists with code generation is only indirect."
g-q2-p1-01,0.35,"The article discusses AI-assisted coding and agent-like modes (e.g., Copilot agent mode) and how they improve developer workflows, which is related to agentic AI for code generation. However, it is focused on general software development and developer experience rather than supporting data/natural scientists specifically for scientific data analysis code."
g-q2-p1-03,0.72,"The article discusses LLM-enabled IDE features (autocomplete and code implementation) that generate code, directly relating to agentic AI supporting code writing for data analysis workflows. However, it focuses on general software development rather than specifically supporting data/natural scientists or scientific data analysis tasks."
g-q2-p1-06,0.72,"The article describes GitHub Copilot/Copilot X as an agentic-style AI assistant for generating and assisting with software code (including tests and debugging) across the development lifecycle. While it is not specific to scientific/natural science workflows, it directly targets AI-driven code generation that could support data scientists and natural scientists."
g-q2-p1-07,0.72,"The article directly discusses agentic-style AI coding assistants that retrieve and rank code context to support code generation, which is closely aligned with an agentic AI system for helping data/natural scientists write analysis code. However, it focuses on general software engineering assistant architecture rather than specifically on scientific/data analysis workflows."
g-q2-p1-08,0.86,"The article directly describes an agentic-style AI copilot that converts natural language into specialized robotic code, including retrieval-augmented generation and extensive evaluation/metrics. This closely matches the target system’s goal of supporting data/natural scientists with AI-driven code generation for analysis, though the domain is robotics rather than scientific data analysis."
g-q2-p2-02,0.35,"The text discusses measuring the impact of AI tools on software engineering productivity, including code generation-related considerations. However, it is not specifically about an agentic AI system that helps data/natural scientists write code for data analysis."
g-q2-p2-03,0.72,"The article focuses on agentic AI coding tools that can autonomously modify repositories, run tests, and iterate—directly relevant to an agentic AI system for generating data analysis code. However, it is general software development guidance rather than specifically supporting data scientists/natural scientists or scientific data-analysis workflows."
g-q2-p2-04,0.55,"The article focuses on AI-assisted software development using coding assistants (e.g., GitHub Copilot, ChatGPT) and even mentions building an internal agent-like assistant, which is related to agentic AI for code generation. However, it is not specifically about agentic AI supporting data scientists/natural scientists for scientific or data analysis code, so relevance is only partial."
g-q2-p2-05,0.95,"The article directly studies an agentic AI framework (multi-agent collaboration plus runtime execution debugging) for generating and refining code, evaluated on programming benchmarks. This closely matches the target system’s goal of supporting data/natural scientists with agentic AI for scientific/data analysis code generation."
g-q2-p2-06,0.55,"The article discusses using AI coding assistants (GitHub Copilot and Claude) to generate and optimize code, which is relevant to agentic AI for code generation. However, it is not specifically focused on agentic AI supporting data scientists/natural scientists or scientific data analysis workflows."
g-q2-p2-07,0.72,"The article discusses agentic AI agents that assist developers with writing, reviewing, debugging, and generating code across the software development lifecycle. While it is framed around general software development (not specifically data/scientific analysis), it is directly relevant to an agentic AI system supporting code generation for data analysis workflows."
g-q2-p2-08,0.78,"The article is directly about agentic/AI coding assistants used to generate and modify code with planning, context, testing, and human oversight. While it is not specific to scientific/natural science workflows, it strongly aligns with an agentic AI system that supports data scientists and natural scientists in writing analysis code."
