article_ID,requirement_type,requirement,exact_text_quote
a-02,functional,The system shall support voice-based interaction for describing desired code functionality.,"Instead of writing code, I should be able to talk to the AI using voice, describe what I want."
a-02,non-functional,The system shall provide transparent and explainable recommendations so developers can reason about and verify AI-generated outputs.,I think it's important in the long run to teach engineers why Copilot is recommending its particular way to do things.
a-02,non-functional,The system shall ensure human oversight is maintained for critical tasks rather than fully delegating to AI.,"Rather than completely delegating a task to AI or completely delegating it to a human, a middle ground can be reached by employing AI with a human in the loop, especially for critical tasks."
a-02,non-functional,The system shall avoid introducing bias by ensuring diverse data representation in training and implementing fairness metrics.,"To avoid it, there is a need to set up guardrails for including diverse data, improving transparency, and laying out ethics guidelines and fairness metrics to avoid such an outcome."
a-02,non-functional,The system shall demonstrate consistent and reliable performance over time to build developer trust.,"In order for me to let something external manage my calendar, prioritizing tasks, or refactoring code that is used in production services impacting millions of our customers, it would need to prove itself over a long period of time, and that at the very least seems too far away in the future."
a-03,functional,"The system shall capture fine-grained interaction data including code edits, executions, errors, and chat messages to enable context-aware AI support.","Capture and process fine-grained student activity (code edits, executions, errors) and chat interactions into meaningful learning traces."
a-03,functional,"The system shall enrich LLM prompts with real-time context including recent code, errors, objectives, and chat history to improve response relevance.","Enrich LLM prompts with real-time context (e.g., recent code, errors, objectives, chat history) for adaptive scaffolding."
a-03,functional,The system shall provide adaptive scaffolding based on user activity patterns and help-seeking behaviors.,Enable adaptive scaffolding based on student activity
a-03,non-functional,"The system shall be designed with modular components for logging, analytics, and LLM interaction to facilitate updates and integration of new techniques.","Design components (logging, LA, LLM interaction) independently to facilitate updates, integration of new techniques, and research experimentation."
a-03,non-functional,The system shall support multiple concurrent users efficiently while ensuring data isolation and privacy.,"Support multiple concurrent users efficiently while ensuring data isolation and privacy, particularly when using local LLMs."
a-03,functional,The system shall enable comparative studies and A/B testing of different AI configurations without infrastructure changes.,Enable real-time behaviour analysis and rapid A/B testing of prompt designs without infrastructure changes.
a-04,functional,The system shall ingest data files such as CSV tables and extract answers from the data given a prompt.,"Microsoft Copilot, ChaptGPT Plus, and Google Assistant have been capable of ingesting data files, such as CSV tables, and extracting answers from the data given a prompt."
a-04,functional,"The system shall be capable of performing coding operations including reading uploaded files, extracting statistical information from CSV tables, and generating images with existing libraries.","ChatGPT Plus can be attached to a Python runtime, allowing it to perform any coding operation, such as reading uploaded files, extracting statistical information from CSV tables, and generating images and PowerPoint presentations with existing libraries."
a-04,functional,The system shall automatically apply valid data analysis approaches and explain and argue the results back to the user.,"Instead, they could expect the AI assistant to apply valid, possibly alternative, approaches and explain and argue the results back."
a-04,functional,The system shall identify patterns in large amounts of data using machine learning algorithms.,Machine learning is now widely employed to discover patterns in large amounts of data.
a-04,functional,The system shall provide results that include confidence or statistical relevance information.,Any result should also include its confidence or statistical relevancy.
a-04,functional,The system shall generate visualizations and infographics to convey explanations for data sets more effectively than text.,Visualizations and infographics are considered more effective than text to convey explanations for a given data set.
a-04,functional,The system shall identify and explain patterns in temporal series data.,strategies may be implemented for AI tools to emulate the analysis of multivariate data by human experts or in identifying and explaining patterns in temporal series.
a-04,non-functional,The system shall reduce the barrier to data analysis faced by nonspecialized researchers and students through automation.,"we envision data analysis democratization, where all processes and result acquisition would be automated to reduce the barrier to data analysis faced by nonspecialized researchers and students."
a-04,functional,"The system shall be knowledgeable about the data type and method employed to acquire or generate the data, including its information boundaries.","the data's nature matters to our AI assistant, and it must be knowledgeable about the type of method employed to acquire or generate the data and its information boundaries."
a-04,functional,The system shall support analysis planning in addition to analysis execution.,"beyond support to analysis execution, authors in a recent study consider how assistants could contribute to analysis planning."
a-05,functional,The system shall provide predefined prompt templates for code documentation generation to ensure consistent and high-quality output.,"Our results show that predefined prompts deliver code documentation of significantly higher quality than ad-hoc prompts, especially due to a consistent documentation format."
a-05,functional,The system shall support iterative refinement of generated documentation based on user feedback.,participants understood the tools as support to iteratively refine the documentation
a-05,functional,The system shall generate concise and readable code documentation that avoids unnecessary information.,"especially students perceived the documentation produced from ad-hoc prompts as significantly less readable, less concise, and less helpful than documentation from prepared prompts"
a-05,functional,The system shall support code comprehension by generating documentation that helps users understand code functions.,the generated documentation helped (particularly students) comprehend more complex code
a-05,non-functional,The system shall provide guidance and support for less experienced users in formulating effective prompts.,"While students desired more support in formulating prompts, professionals appreciated the flexibility of ad-hoc prompting"
a-05,functional,The system shall allow users to customize documentation output format and content depth.,some missed the flexibility to adjust the documentation depth
a-05,non-functional,The system shall minimize the number of steps required to generate code documentation.,The simplicity and efficiency of a single button click to receive consistently high-quality documentation were key factors for this assessment
a-05,functional,"The system shall generate documentation that includes relevant documentation-specific keywords (e.g., Docstring) to meet Python documentation standards.","Professionals used the Docstring term more often (9x) than students (3x), which is in line with the higher Python experience of most participating professionals"
a-06,functional,The system shall generate code snippets for data analysis tasks from natural language descriptions.,"LLMs have shown great proficiency in generating code snippets for data analysis from natural language descriptions, especially in languages such as Python."
a-06,functional,"The system shall support multiple Python libraries including Matplotlib, Seaborn, and Altair for visualization generation.","The system supports multiple Python libraries, including Matplotlib, Seaborn, and Altair, for visualization generation."
a-06,functional,The system shall accept multi-modal inputs combining graphical widgets and natural language to specify user intent.,Data Formulator combines graphical widgets and natural language inputs to let users specify their intent more clearly with less overhead compared to using just natural language interface.
a-06,functional,The system shall provide code explanations in natural language to help users understand and verify generated outputs.,One of the co-audit approaches is to provide code explanations either in natural language or ground the output code in editable step-by-step natural language utterances.
a-06,functional,The system shall generate multiple possible chart or data transformation candidates for the same user instruction to enable disambiguation.,Another verification approach is to generate multiple possible charts/data for the same user instruction and show any differences to the user to disambiguate.
a-06,functional,The system shall assist users in selecting appropriate statistical tests based on tasks and data.,"LLMs can help users select appropriate statistical tests based on tasks and data, such as t tests to compare the means of two groups."
a-06,functional,"The system shall provide guidance on statistical pitfalls including selection bias, misinterpretation of p-values, and overfitting.","They can also help users avoid common pitfalls such as selection bias, misinterpretation of p-values, and overfitting by providing guidance on issues like multiple comparisons and confounding variables."
a-06,functional,The system shall combine data transformation with visualization authoring in a single tool.,"Data Formulator unifies data transformation with visualization authoring, which improves the user experience over traditional visualization tools."
a-06,functional,The system shall dynamically generate UI widgets on the fly based on user intent for interactive editing.,"As the user describes an editing task in natural language, such as 'change the legend position to left', DynaVis performs the edit and synthesizes a persistent widget that the user can interact with to make further modifications."
a-06,functional,"The system shall support iterative exploration allowing users to refine, fork, or backtrack from previous analysis steps.","With data threads, the user can easily locate an existing plot to refine, fork a new branch from a previous step to explore alternatives, or backtrack to a previous state to correct mistakes."
a-06,functional,The system shall provide domain knowledge support to help users understand dataset columns and interpret analysis results.,"LLMs can help users understand the various columns in a dataset, help generate semantically rich features for downstream analysis tasks, and can help users interpret the results of the analysis within the domain context."
a-06,functional,"The system shall assist users in data cleaning, transformation, and integration from multiple sources.","AI systems can also help with data cleaning and integrating multiple datasets from different sources. This can include handling data formatting issues, resolving inconsistencies, and merging datasets to create a unified dataset for analysis."
a-06,functional,The system shall support task formulation by helping users refine high-level goals into specific actionable tasks.,"LLMs can also assist in translating high-level user requirements (e.g., evaluating a company's performance) into specific and actionable tasks (e.g., assessing revenue, employee satisfaction, etc.) again by leveraging the domain knowledge."
a-06,functional,The system shall provide tool copilot functionality to facilitate natural language and chat-based interfaces for data analysis tools.,"Recently, numerous applications feature their own AI copilots or AI assistant systems to facilitate a natural language and chat-based interface for their tools."
a-06,non-functional,The system shall reduce the need for users to learn new tools and languages while assisting with data analysis tasks.,This reduces the user's need to learn new tools and languages while assisting with a variety of tasks.
a-06,non-functional,The system shall provide low code/no code experiences to empower non-programmers in data analysis.,"For non-programmers, LLMs can alleviate this burden by aiding users in seamlessly transitioning from intent to automatically generating the required code."
a-06,non-functional,The system shall enable users to inspect generated code and make changes when needed.,Some of these tools also allow users who may be slightly more proficient in coding skills to inspect the generated code and make any changes if needed.
a-06,non-functional,The system shall provide real-time visibility into agent actions with support for checkpointing and interruptibility.,"One potential strategy is to design these systems to provide real-time visibility into the actions of these agents, along with support for checkpointing and interruptibility."
a-06,non-functional,The system shall ensure stability by demonstrating consistent analysis outcomes when slight perturbations are applied to inputs and assumptions.,"A key aspect of this framework is demonstrating that the analysis outcome remains consistent when slight perturbations are applied to inputs, assumptions, and hypotheses at various stages of the data analysis pipeline."
a-06,non-functional,The system shall reduce verification cognitive load to not exceed the effort of performing the task manually.,"However, the verification process should not impose a cognitive load comparable to or greater than that of a person performing the task by themselves."
a-06,non-functional,The system shall provide multi-modal and interactive outputs to enhance user understanding and verification ability.,"Additionally, the format of the output has a significant influence on the user's understanding and verification ability."
a-06,non-functional,The system shall support both procedure-oriented artifacts for understanding analysis steps and data artifacts for confirming low-level details.,"Participants needed both procedure-oriented artifacts (e.g., natural language explanations, code, and code comments) for understanding analysis steps and data artifacts (e.g., intermediate/output data tables and summary visualizations) for confirming low level details."
a-06,non-functional,The system shall provide fallback options and intelligent request for additional information when model outputs are undesirable.,Some strategies for handling such failures include providing fallback options or having the model intelligently request additional information from the user.
a-06,non-functional,"The system shall support personalization to learn user preferences over time including preferred code detail level, visualization colors, and reporting style.","Advancements in agents and AI models are needed to enable memory storage, learning from past actions and human feedback, and adapting to user preferences over time (for example, the amount of code they would like to see, colors they would like in their plots, their reporting style, etc.)."
a-07,functional,The system shall assist users in finding relevant data sources for their data analysis tasks.,"AI holds much potential, such as finding relevant data sources, proposing analysis strategies, and writing analysis code"
a-07,functional,The system shall propose analysis strategies to help users approach their data analysis problems.,"AI holds much potential, such as finding relevant data sources, proposing analysis strategies, and writing analysis code"
a-07,functional,The system shall write data transformation and analysis scripts or code for users.,"AI holds much potential, such as finding relevant data sources, proposing analysis strategies, and writing analysis code"
a-07,functional,The system shall help users debug or repurpose existing analysis scripts.,"Generative AI significantly advances the state of the art in facilitating the authoring and debugging of data analysis scripts, reuse of analysis workflows, comprehension of analysis scripts, learning, and exploration"
a-07,functional,The system shall support the comprehension of analysis scripts by providing explanations.,"Generative AI significantly advances the state of the art in facilitating the authoring and debugging of data analysis scripts, reuse of analysis workflows, comprehension of analysis scripts, learning, and exploration"
a-07,functional,The system shall support learning of unfamiliar statistical procedures or tools.,teach the user how to apply an unfamiliar statistical procedure or tool
a-07,functional,The system shall help users generate hypotheses for their data analysis.,the sensemaking loop by helping users generate hypotheses and develop strategies to test them
a-07,functional,The system shall help users develop strategies to test hypotheses.,the sensemaking loop by helping users generate hypotheses and develop strategies to test them
a-07,functional,The system shall help users with information gathering in the data analysis workflow.,generative AI supports data analysis workflows in the information foraging loop by streamlining information gathering
a-07,functional,The system shall provide step-by-step instructions for data analysis tasks.,Participants also liked when Bing Chat provided step-by-step process on how to get a chart in Excel that gave headway on how to get the desired results
a-07,functional,The system shall provide code examples for implementing data analysis tasks.,P1's final mediated query asked for the same code but with their specific categories in mind
a-07,functional,The system shall provide alternative analysis approaches to inspire users.,generative AI was useful to have another perspective... which could be inspiring for their own workflow by giving a whole new way to do a task
a-07,functional,The system shall provide citations or references to support its responses.,Bing Chat provides references to the URLs from which it derives its responses using footnote-style superscripts
a-07,functional,The system shall allow users to iterate and refine queries to improve response quality.,participants iterated with Bing Chat to incrementally build up an optimal response by issuing a series of prompts to slightly refine the previous response
a-07,functional,"The system shall provide responses in different formats (tables, text, code) based on user needs.",P11 attempted to compare popular object detection models... but the initial reply was a bulleted list... P11 requested Bing Chat to produce a table
a-07,non-functional,The system shall help users build detailed prompts that contain sufficient context.,"These results provide a range of implications for design, such as assisting users build detailed prompts that contain the context needed by AI to be effective"
a-07,non-functional,The system shall help users verify AI-generated responses for correctness.,helping users verify AI responses
a-07,non-functional,The system shall provide appropriate level of detail in responses based on user expertise.,This points to the need for tailoring responses according to user expertise
a-07,non-functional,The system shall integrate with feature-rich application workflows used for data analysis.,better integration with feature-rich application workflows
a-07,non-functional,The system shall reduce the verification burden on users.,"Participants found that manually verifying sources was burdensome, and in some cases the work of verifying a response might be greater than the work required to conduct a web search manually"
a-07,non-functional,The system shall support metacognitive processes such as task decomposition.,"participants commented how the system helped them think in a step by step manner, reflecting support with task decomposition"
c-q1-01,functional,The system shall provide code suggestions in real-time based on the current context of the user's code.,an AI pair programmer that suggests code and entire functions in real time based on context
c-q1-01,functional,The system shall suggest complete functions to assist users in completing programming tasks.,suggests code and entire functions in real time based on context
c-q1-01,functional,The system shall enable users to complete data analysis coding tasks faster than without the tool.,the treated group...completed the task 55.8% faster than the control group
c-q1-01,non-functional,The system shall particularly benefit users with less programming experience.,less experienced developers...benefit more from Copilot
c-q1-01,non-functional,The system shall particularly benefit users who program more hours per day.,developers with heavy coding load (hours of coding per day)...benefit more from Copilot
c-q1-01,non-functional,The system shall particularly benefit users in the 25-44 age demographic.,older developers (developers aged between 25 and 44) benefit more from Copilot
c-q1-01,non-functional,The system shall support multiple programming languages relevant to data analysis.,Productivity benefits may vary across specific tasks and programming languages
c-q1-01,non-functional,The system shall maintain code quality while improving productivity.,"this study does not examine the effects of AI on code quality. AI assistance can increase code quality if it suggests code better than the programmer writes, or it can reduce quality if the programmer pays less attention to code"
c-q1-02,functional,The system shall increase the volume of code contributions made by data scientists and natural scientists for data analysis projects.,Copilot use increases project-level code contributions by 5.9%
c-q1-02,functional,The system shall increase individual code productivity for data scientists and natural scientists writing data analysis code.,a 2.1% increase in individual code contributions
c-q1-02,functional,The system shall increase developer participation in coding activities for data analysis projects.,a 3.4% rise in developer coding participation
c-q1-02,non-functional,The system shall account for increased coordination time required to integrate code contributions due to increased discussions.,coordination time for code integration increases by 8%
c-q1-02,functional,The system shall provide code suggestions that align with project-specific conventions and architectural patterns.,"AI pair programmers can facilitate code generation, they may not be able to automatically fully incorporate a software project's specific context, such as broader architectural structure, interdependencies, performance considerations, into the code they generated"
c-q1-02,functional,The system shall enable developers to craft effective prompts to generate contextually appropriate code for data analysis tasks.,core developers may be able to craft more effective prompts and critically evaluate AI-generated code within the context of project requirements
c-q1-02,functional,The system shall support code review discussions by enabling developers to participate in code discussions.,AI pair programmers may also encourage more participation in discussions on the focal project
c-q1-02,functional,The system shall reduce the learning curve for contributing to data analysis projects.,AI pair programmers help reduce these barriers by shortening the learning curve and lowering the time and effort needed to contribute
c-q1-02,non-functional,The system shall provide code suggestions that follow best practices to reduce search time.,"AI pair programmers use extensive databases and advanced machine learning algorithms to provide suggestions that follow best practices, reducing search time"
c-q1-02,functional,The system shall assist developers in understanding algorithms and exploring alternative solutions for data analysis problems.,AI pair programmers can assist developers in understanding algorithms and exploring alternative solutions
c-q1-03,functional,The system shall generate code that meets specified functional requirements for data analysis tasks.,"Code generation tools write code that doesn't meet functional or non-functional (e.g., security, performance) requirements that I need."
c-q1-03,functional,"The system shall generate code that meets non-functional requirements including performance, readability, and time complexity.","Some participants requested AI programming assistants to generate code that addressed non-functional requirements, such as time complexity."
c-q1-03,functional,The system shall provide autocomplete functionality to reduce keystrokes when writing data analysis code.,To have an autocomplete or reduce the amount of keystrokes I make.
c-q1-03,functional,"The system shall help users recall programming syntax, API methods, and code snippets for data analysis tasks.","To skip needing to go online to find specific code snippets, programming syntax, or API calls I'm aware of, but can't remember."
c-q1-03,functional,The system shall generate repetitive code patterns commonly used in data analysis workflows.,"Participants were successful in using the AI programming assistants to generate repetitive code, such as boilerplate code."
c-q1-03,functional,The system shall generate code with simple logic for data analysis tasks.,participants reported using AI programming assistants to successfully generate code with simple logic.
c-q1-03,functional,The system shall generate test cases and quality assurance code for data analysis scripts.,"Participants reported using AI programming assistants for quality assurance, such as producing a lot of test cases quickly."
c-q1-03,functional,The system shall support users in learning new programming languages or libraries used in data analysis.,Study participants also utilized these tools when learning new programming languages or new libraries they had limited to no experience with.
c-q1-03,non-functional,The system shall provide users with control over the generated output to meet their specific needs.,It's hard to control code generation tools to get code that I want.
c-q1-03,non-functional,The system shall provide explanations of generated code to help users understand what the code does.,"Some participants wanted explanations for additional context of the generated code, such as sourcing the suggestions or linking directly to documentation."
c-q1-03,non-functional,The system shall minimize cognitive effort required by users to interact with the tool during data analysis tasks.,designing minimal cognitive effort interactions with these tools to reduce distractions for users while they are programming.
c-q1-03,non-functional,The system shall generate code that matches the user's project coding style and conventions.,The generated code's style doesn't match my project's.
c-q1-03,functional,The system shall allow users to provide feedback to correct or personalize the model for their data analysis workflows.,Developers would like to improve their experience with AI programming assistants by providing feedback to the tool to correct or personalize the model.
c-q1-03,functional,The system shall generate proof-of-concept code to help users explore different approaches to data analysis problems.,using AI programming assistants helped with brainstorming or building proof-of-concepts by helping generate multiple implementations for a given problem.
c-q1-03,non-functional,The system shall provide clear documentation or links to documentation for generated code using unfamiliar APIs.,The generated code uses APIs or methods I don't know.
c-q1-04,functional,The system shall autonomously plan multi-step actions based on user inputs describing data analysis tasks.,"coding agents such as Devin, OpenHands, and Claude Code are designed for greater autonomy: they can autonomously plan multi-step actions based on user inputs, navigate across files, execute code, and iteratively revise outputs."
c-q1-04,functional,The system shall navigate across files within a data analysis project repository.,"they can autonomously plan multi-step actions based on user inputs, navigate across files, execute code, and iteratively revise outputs."
c-q1-04,functional,The system shall execute code to perform data analysis operations.,"they can autonomously plan multi-step actions based on user inputs, navigate across files, execute code, and iteratively revise outputs."
c-q1-04,functional,The system shall autonomously debug code when errors occur during data analysis.,the reduction in user effort is largely due to the agent's ability to autonomously debug and set up complex environments and assist users in evaluating whether code implementations follow task instructions.
c-q1-04,functional,The system shall set up complex development environments required for data analysis tasks.,the reduction in user effort is largely due to the agent's ability to autonomously debug and set up complex environments and assist users in evaluating whether code implementations follow task instructions.
c-q1-04,functional,The system shall assist users in evaluating whether code implementations follow task instructions.,the reduction in user effort is largely due to the agent's ability to autonomously debug and set up complex environments and assist users in evaluating whether code implementations follow task instructions.
c-q1-04,functional,The system shall create and edit files within a data analysis project.,"OpenHands supports multiple tools, including a bash shell, Jupyter IPython server, text-based browsing tool that uses a Chromium browser, and a file-processing tool for creating, viewing, and editing plain-text files."
c-q1-04,non-functional,The system shall provide transparency about its actions and reasoning to users.,ensuring users adequately understand agent behaviors
c-q1-04,non-functional,The system shall reduce cognitive load on users during data analysis tasks.,we also observe that this result translates into significantly less cognitive load
c-q1-04,non-functional,The system shall enable users to accomplish new tasks that they could not complete without the agent.,participants felt that using agents allowed them to accomplish new tasks that they could not have done so with prior tools
c-q1-04,non-functional,The system shall balance proactivity to avoid taking unnecessary actions.,Agents should balance the level of proactivity.
c-q1-04,non-functional,The system shall effectively leverage human effort by allowing users to direct and oversee the analysis process.,Agent should effectively leverage human effort.
c-q1-04,non-functional,The system shall provide explanations of agent actions to help users understand what the system did.,"Since agents may be editing multiple files and making many changes, it can become difficult for users to understand why OpenHands made certain changes."
c-q1-05,functional,The system shall allow users to manually invoke code suggestions so they can obtain assistance only when actually needed.,"developers can freely invoke Copilot. As a result, they can get suggestions only when they actually need them, aligning the tool's functionality with their workflow and reducing cognitive overhead"
c-q1-05,functional,The system shall provide a mechanism to enable or disable automatic code suggestions based on user preference.,"The SUGGenabled variable measures whether developers enabled or disabled automatic suggestions. Again, this is a binary variable."
c-q1-05,non-functional,The system shall minimize the intrusiveness of automatic suggestions to avoid disrupting users' cognitive flow.,"paradoxically, they might disrupt developers' cognitive flow, increase their frustration"
c-q1-05,non-functional,The system shall provide suggestions that are relevant to the user's current coding task to avoid wasting user time.,Incorrect suggestions might make even novice developers feel like they are wasting their time
c-q1-05,non-functional,The system shall adapt the frequency of automatic suggestions based on the user's experience level.,a potential UX improvement could be suggest that Copilot's behavior should be customized based on the user's programming experience
c-q1-05,functional,The system shall measure actual productivity as the completion percentage of tasks divided by the time required to complete them.,"We compute PRODa as the completion percentage divided by completion time. The more tasks a developer completes, the higher the productivity. The more time developers take to complete the task, the lower the productivity."
c-q1-05,non-functional,"The system shall consider the size of suggested code blocks, as larger blocks may be perceived as more invasive.","the size of suggested code blocks and the availability of alternative suggestions, which affect the ability of developers to choose the most fitting suggestion for their code"
c-q1-06,functional,The system shall help developers reduce key-strokes through autocomplete functionality.,"86%, 76%, and 68% of participants cited an important motivation for using these tools was autocompletion (M1), finishing tasks faster (M2), and skipping going online to recall syntax respectively (M3)"
c-q1-06,functional,The system shall help developers finish programming tasks more quickly.,"86%, 76%, and 68% of participants cited an important motivation for using these tools was autocompletion (M1), finishing tasks faster (M2), and skipping going online to recall syntax respectively (M3)"
c-q1-06,functional,"The system shall help developers recall syntax, code snippets, and API calls without needing to go online.","86%, 76%, and 68% of participants cited an important motivation for using these tools was autocompletion (M1), finishing tasks faster (M2), and skipping going online to recall syntax respectively (M3)"
c-q1-06,functional,The system shall generate code that meets functional requirements specified by the developer.,"Code generation tools write code that doesn't meet functional or non-functional (e.g., security, performance) requirements that I need."
c-q1-06,functional,The system shall generate code that meets non-functional requirements including security and performance.,"Code generation tools write code that doesn't meet functional or non-functional (e.g., security, performance) requirements that I need."
c-q1-06,functional,The system shall be controllable by developers to generate the desired output.,It's hard to control code generation tools to get code that I want.
c-q1-06,functional,The system shall generate repetitive code such as boilerplate and CRUD endpoints.,"Participants were successful in using the AI programming assistants to generate repetitive code, such as 'boilerplate [code]' (P165), 'repetitive endpoints for crud' (P164), and 'college assignments' (P265) that had repeated functionality or were common programming tasks."
c-q1-06,functional,The system shall generate code with simple logic such as utility functions and sorting algorithms.,"Consistent with prior work [56], participants reported using AI programming assistants to successfully generate code with simple logic. This was the second most mentioned code in the dataset. Examples include 'small independent utils functions' (P155), 'sorting algorithms' (P177), and 'small functions like storing the training model into local file systems' (P255)."
c-q1-06,functional,The system shall support autocomplete for short code completions.,"We found participants also utilized AI programming assistants to do short autocompletions of code, which is associated most with acceleration mode usages of these tools [12]."
c-q1-06,functional,The system shall assist with quality assurance by generating test cases.,"Participants reported using AI programming assistants for quality assurance, such as '[generating] useful log messages' (P212) and '[producing] a lot of test cases quickly' (P356)."
c-q1-06,functional,The system shall help with brainstorming and generating proof-of-concept implementations.,"Similar to prior work [12, 56, 60], participants mentioned that using AI programming assistants helped with brainstorming or building proof-of-concepts by helping generate multiple implementations for a given problem."
c-q1-06,functional,The system shall help developers learn new programming languages and libraries.,"Study participants also utilized these tools when 'learning new programming languages' (P197) or 'new libraries' (P140) they had limited to no experience with, rather than using online documentation [47] or video tutorials [40]."
c-q1-06,functional,The system shall generate documentation for code.,A few participants used AI programming assistants to generate documentation. One participant noted generating documentation helped with collaboration: I mainly use it to...annotate my code for my colleagues.' (P258)
c-q1-06,functional,The system shall maintain consistency with project coding style.,"A few participants used these tools to improve style consistency in a codebase, which is a factor developers consider while making implementation decisions [36]."
c-q1-06,functional,The system shall provide clear explanations of what inputs cause what outputs.,"The biggest challenges participants reported facing were not knowing what part of the input influenced the output (S1), giving up on using outputted code (S2), and having trouble controlling the model (S3), as 30%, 28%, and 26% of participants encountered these situations often."
c-q1-06,functional,The system shall allow users to provide feedback to correct or personalize the model.,"Most frequently, participants wanted to provide feedback to the AI programming assistant for it to learn from. Some wanted to correct the outputted code as feedback, while others wanted to teach the model their personal coding style."
c-q1-06,functional,The system shall have a better understanding of code context including APIs and programming languages.,"Participants also reported wanting AI programming assistants to have additional understanding of code context, such as learning from 'context from other files on the same workspace' (P12)."
c-q1-06,functional,The system shall support natural language interactions for code refinement.,"Some participants wanted opportunities for interaction via natural language. Inspired by ChatGPT [1], several participants mentioned chat-based interactions: 'would be nice if we could give feedback to it like how we chat with chatGPT' (P39)."
c-q1-06,non-functional,The system shall generate code that addresses non-functional requirements including time complexity and readability.,"Some participants requested AI programming assistants to generate code that addressed non-functional requirements, such as 'time complexity' (P191). Other participants wanted more readable code: Sometimes AI suggest code [with] one lines or short hand logic, which is difficult to read and understand.' (P98)"
