ID,requirement_type,requirement,exact_text_quote
c-q2-07,non-functional,Human–agent interaction mechanism shall be user-friendly and highly real-time.,"we devised a user-friendly , highly real-time human–agent interaction mechanism to alleviate the misunderstandings of agents on task prompts or context."
c-q2-07,non-functional,System shall dynamically retrieve relevant knowledge to mitigate LLM hallucinations and biases during reasoning and decision-making.,"By dynamically retrieving relevant information from the knowledge base, agents formulate rational plans and generate code tailored to task-specific requirements, thereby mitigating the hallucinations and biases inherent in LLMs during reasoning and decision-making ( Fig. S2b)."
c-q2-07,non-functional,"Execution efficiency shall be measured and optimized across task completion rate, human–agent rounds, execution time, resource usage, self-correction rounds, and ROUGE-L score of generated codes.","The execution efficiency evaluation assesses Bio-Copilot with six quantifiable metrics, including the task completion rate, human–agent rounds, execution time, resource usage (CPU/GPU and memory usage percentage), self-correction rounds, and ROUGE-L score of generated codes."
g-q1-p1-11,functional,"Provide a modular architecture that includes a reinforcement learning core, fuzzy logic reasoning engine, human feedback interface, and bias detection module.","This system should be developed on: (i) modular architecture that includes a reinforcement learning (RL) core, fuzzy logic reasoning engine, human feedback interface, bias detection module;"
g-q1-p1-11,functional,Provide explainable AI (XAI) methods that output the rationale of the model.,"(ii) explainable AI (XAI) methods to output the rationale of the model,"
g-q1-p1-11,functional,Support human-in-the-loop correction via human operators.,human operators for (iii) human-in-the-loop correction
g-q1-p1-11,functional,Provide bias mitigation and fairness checks.,"(iv) bias mitigation and fairness checks,"
g-q1-p1-11,functional,Provide a hybrid multi-store evaluation mechanism.,(v) a hybrid multi-store evaluation mechanism.
g-q1-p1-11,functional,Combine human expertise and machine learning in a human-AI cooperative decision-making system.,propose a human-AI cooperative decision-making system in order to combine the benefits of human expertise and machine learning.
g-q1-p1-11,functional,Manage data heterogeneity across channels.,unable to manage data heterogeneity across channels
g-q1-p1-11,non-functional,Provide real-time adaptability.,real-time adaptability
g-q1-p1-11,non-functional,Achieve decision latency below 200 ms.,decision latency below 200 ms.
g-q1-p1-11,functional,Incorporate fuzzy logic smoothing as an important module.,fuzzy logic smoothing
