Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
"Echoes of AI: Investigating the Downstream Effects of AI Assistants on Software Maintainability","Co-development with AI assistants does not consistently lead to degraded code-level maintainability, with no consistent warning signs of degraded code-level maintainability.","Markus Borg, Dave Hewett, Nadim Hagatulah, N. Couderc, Emma Söderberg, Donald Graham, Uttam Kini, Dave Farley",2025,1,"[Context] AI assistants, like GitHub Copilot and Cursor, are transforming software engineering. While several studies highlight productivity improvements, their impact on maintainability requires further investigation. [Objective] This study investigates whether co-development with AI assistants affects software maintainability, specifically how easily other developers can evolve the resulting source code. [Method] We conducted a two-phase controlled experiment involving 151 participants, 95% of whom were professional developers. In Phase 1, participants added a new feature to a Java web application, with or without AI assistance. In Phase 2, a randomized controlled trial, new participants evolved these solutions without AI assistance. [Results] Phase 2 revealed no significant differences in subsequent evolution with respect to completion time or code quality. Bayesian analysis suggests that any speed or quality improvements from AI use were at most small and highly uncertain. Observational results from Phase 1 corroborate prior research: using an AI assistant yielded a 30.7% median reduction in completion time, and habitual AI users showed an estimated 55.9% speedup. [Conclusions] Overall, we did not detect systematic maintainability advantages or disadvantages when other developers evolved code co-developed with AI assistants. Within the scope of our tasks and measures, we observed no consistent warning signs of degraded code-level maintainability. Future work should examine risks such as code bloat from excessive code generation and cognitive debt as developers offload more mental effort to assistants.","","ArXiv","","10.48550/arxiv.2507.00788","https://consensus.app/papers/echoes-of-ai-investigating-the-downstream-effects-of-ai-borg-hewett/f80e8e7b84c65216851d8d89da3ea21f/"
"AI-assisted Programming May Decrease the Productivity of Experienced Developers by Increasing Maintenance Burden","AI-assisted programming like GitHub Copilot increases productivity for less-experienced developers, but may decrease the productivity of experienced core developers by increasing maintenance burden.","Feiyang Xu, Poonacha K. Medappa, M. M. Tunç, Martijn Vroegindeweij, Jan C Fransoo",2025,0,"Generative AI solutions like GitHub Copilot have been shown to increase the productivity of software developers. Yet prior work remains unclear on the quality of code produced and the challenges of maintaining it in software projects. If quality declines as volume grows, experienced developers face increased workloads reviewing and reworking code from less-experienced contributors. We analyze developer activity in Open Source Software (OSS) projects following the introduction of GitHub Copilot. We find that productivity indeed increases. However, the increase in productivity is primarily driven by less-experienced (peripheral) developers. We also find that code written after the adoption of AI requires more rework. Importantly, the added rework burden falls on the more experienced (core) developers, who review 6.5% more code after Copilot's introduction, but show a 19% drop in their original code productivity. More broadly, this finding raises caution that productivity gains of AI may mask the growing burden of maintenance on a shrinking pool of experts.","","ArXiv","","10.48550/arxiv.2510.10165","https://consensus.app/papers/aiassisted-programming-may-decrease-the-productivity-of-xu-medappa/31e123281cdc581ab705e5608bdd375b/"
"Rethinking Software Engineering in the Foundation Model Era: From Task-Driven AI Copilots to Goal-Driven AI Pair Programmers","Goal-driven AI-powered pair programmers can enhance software engineering by collaborating with human developers in a holistic and context-aware manner, enhancing productivity and software quality.","Ahmed E. Hassan, G. Oliva, Dayi Lin, Boyuan Chen, Zhen Ming Jiang",2024,20,"The advent of Foundation Models (FMs) and AI-powered copilots has transformed the landscape of software development, offering unprecedented code completion capabilities and enhancing developer productivity. However, the current task-driven nature of these copilots falls short in addressing the broader goals and complexities inherent in software engineering (SE). In this paper, we propose a paradigm shift towards goal-driven AI-powered pair programmers that collaborate with human developers in a more holistic and context-aware manner. We envision AI pair programmers that are goal-driven, human partners, SE-aware, and self-learning. These AI partners engage in iterative, conversation-driven development processes, aligning closely with human goals and facilitating informed decision-making. We discuss the desired attributes of such AI pair programmers and outline key challenges that must be addressed to realize this vision. Ultimately, our work represents a shift from AI-augmented SE to AI-transformed SE by replacing code completion with a collaborative partnership between humans and AI that enhances both productivity and software quality.","","ArXiv","","10.48550/arxiv.2404.10225","https://consensus.app/papers/rethinking-software-engineering-in-the-foundation-model-hassan-oliva/1c69081d5c4d585d828a0a1dfbd6b90d/"
"AI-Powered Code Completion Tools and Their Impact on Developer Productivity","AI-powered code completion tools like GitHub Copilot significantly reduce task completion time, but challenges like dependency, inaccuracies, and security concerns remain.","C. K. Gomathy, S. Anirudh",2025,0,"AI-powered code completion tools, such as GitHub Copilot, have revolutionized software development
by automating repetitive coding tasks and providing real-time code suggestions. This paper explores the impact of these
tools on developer productivity, focusing on their ability to reduce development time, improve code quality, and
enhance overall efficiency. Through a review of existing literature, case studies, and experimental data, we analyze the
benefits and challenges of AI-assisted coding. The findings reveal that developers using tools like GitHub Copilot
complete tasks significantly faster, with a reported 55.8% reduction in completion time in controlled experiments .
However, challenges such as dependency on AI-generated code, occasional inaccuracies, and security concerns remain.
This paper concludes with recommendations for future enhancements and research directions to maximize the potential
of AI-powered code completion tools in software development.","literature review","International Journal of Innovative Research in Science, Engineering and Technology","","10.15680/ijirset.2025.1403120","https://consensus.app/papers/aipowered-code-completion-tools-and-their-impact-on-gomathy-anirudh/cb16bd06755f57f5a40e7f6cb10204a3/"
"What Guides Our Choices? Modeling Developers' Trust and Behavioral Intentions Towards Genai","Developers' trust in genAI tools is influenced by system/output quality, functional value, and goal maintenance, and their trust and cognitive styles influence their intentions to use these tools in their work.","Rudrajit Choudhuri, Bianca Trinkenreich, Rahul Pandita, Eirini Kalliamvakou, Igor Steinmacher, M. Gerosa, Christopher Sanchez, Anita Sarma",2024,11,"Generative AI (genAI) tools, such as ChatGPT or Copilot, are advertised to improve developer productivity and are being integrated into software development. However, misaligned trust, skepticism, and usability concerns can impede the adoption of such tools. Research also indicates that AI can be exclusionary, failing to support diverse users adequately. One such aspect of diversity is cognitive diversity-variations in users' cognitive styles-that leads to divergence in perspectives and interaction styles. When an individual's cognitive style is unsupported, it creates barriers to technology adoption. Therefore, to understand how to effectively integrate genAI tools into software development, it is first important to model what factors affect developers' trust and intentions to adopt genAI tools in practice? We developed a theoretically grounded statistical model to (1) identify factors that influence developers' trust in genAI tools and (2) examine the relationship between developers' trust, cognitive styles, and their intentions to use these tools in their work. We surveyed software developers ($\mathrm{N}=238$) at two major global tech organizations: GitHub Inc. and Microsoft; and employed Partial Least Squares-Structural Equation Modeling (PLS-SEM) to evaluate our model. Our findings reveal that genAI's system/output quality, functional value, and goal maintenance significantly influence developers' trust in these tools. Furthermore, developers' trust and cognitive styles influence their intentions to use these tools in their work. We offer practical suggestions for designing genAI tools for effective use and inclusive user experience.","","2025 IEEE/ACM 47th International Conference on Software Engineering (ICSE)","","10.1109/icse55347.2025.00087","https://consensus.app/papers/what-guides-our-choices-modeling-developers-trust-and-choudhuri-trinkenreich/d021c9094ad7597f80092cebf0c89a1c/"
"“It’s Weird That it Knows What I Want”: Usability and Interactions with Copilot for Novice Programmers","Novice programmers find Github Copilot useful for generating code, but face cognitive and metacognitive challenges.","J. Prather, B. Reeves, Paul Denny, Brett A. Becker, Juho Leinonen, Andrew Luxton-Reilly, Garrett B. Powell, James Finnie-Ansley, E. Santos",2023,206,"Recent developments in deep learning have resulted in code-generation models that produce source code from natural language and code-based prompts with high accuracy. This is likely to have profound effects in the classroom, where novices learning to code can now use free tools to automatically suggest solutions to programming exercises and assignments. However, little is currently known about how novices interact with these tools in practice. We present the first study that observes students at the introductory level using one such code auto-generating tool, Github Copilot, on a typical introductory programming (CS1) assignment. Through observations and interviews we explore student perceptions of the benefits and pitfalls of this technology for learning, present new observed interaction patterns, and discuss cognitive and metacognitive difficulties faced by students. We consider design implications of these findings, specifically in terms of how tools like Copilot can better support and scaffold the novice programming experience.","","ACM Transactions on Computer-Human Interaction","1","10.1145/3617367","https://consensus.app/papers/%E2%80%9C-it-%E2%80%99-s-weird-that-it-knows-what-i-want-%E2%80%9D-usability-and-prather-reeves/c2acf0c4024056c9a52bf9f68ed5b091/"
"The Productivity Effects of Generative AI: Evidence from a Field Experiment with GitHub Copilot","GitHub Copilot, an AI-based coding assistant, suggests that software developers at Microsoft and Accenture became more productive by completing 12.92% to 21.83% more pull requests per week.","Kevin Zheyuan Cui, Mert Demirer, Sonia Jaffe, Leon Musolff, Sida Peng, Tobias Salz",2024,22,"We are providing a preview of a project that analyzes two field experiments with 1,974 software developers at Microsoft and Accenture to evaluate the productivity impact of Generative AI. As part of our study, a random subset of developers was given access to GitHub Copilot, an AI-based coding assistant that intelligently suggests 'completions' for code. Our preliminary results provide suggestive evidence that these developers became more productive, completing 12.92% to 21.83% more pull requests per week at Microsoft and 7.51% to 8.69% at Accenture (depending on specification). Due to low compliance in the Microsoft experiment and internal organizational changes at Accenture, our estimates are not very precise and only reach statistical significance if we weight more heavily periods in which Copilot uptake differs across control and treatment.","","An MIT Exploration of Generative AI","","10.21428/e4baedd9.3ad85f1c","https://consensus.app/papers/the-productivity-effects-of-generative-ai-evidence-from-a-cui-demirer/dee559e53cf6529b8163a42a0864fbcb/"
"Large language models in programming: a meta-analysis of tools, users, and human-computer interaction themes","LLM-based programming tools can advance productivity, education, and research, but their effectiveness depends on trust, cognitive load management, interface modalities, and user control.","Daniel Olivares, Charles Bennington, Abigail Skillestad",2025,0,"Since 2021, the rapid integration of large language models (LLMs), such as OpenAI’s Codex and ChatGPT, into programming has reshaped how software is written, learned, and maintained. Tools such as GitHub Copilot, Amazon CodeWhisperer, Tabnine, and Sourcegraph Cody have evolved from experimental aids to core elements of modern workflows, while academic prototypes continue to explore new interfaces and teaching applications. This meta-analysis synthesizes empirical research, user evaluations, and product-level comparisons to provide a comprehensive view of the opportunities and challenges posed by LLM-based programming assistants. The analysis considers novice programmers, professional developers, researchers, and educators, highlighting recurring human-computer interaction (HCI) themes of trust calibration, cognitive load management, interface modalities, and the balance between automation and user control.The methodology followed a systematic review of studies published between 2021 and early 2025 in ACM, IEEE, arXiv, and other recognized repositories. Industry reports and tool documentation were included to capture emerging developments. A qualitative thematic synthesis integrated findings across varied research contexts, including user studies, classroom evaluations, and professional development workflows, revealing consistent patterns in tool use, learning outcomes, and professional practice, while also identifying gaps in current understanding.Novice programmers benefit from immediate feedback, reduced syntax errors, and increased confidence. Yet these advantages can foster over-reliance if tools are used as answer generators. Structured support, such as hint-based prompting and code validation, helps students engage more deeply with core concepts. Professional developers report productivity gains in routine tasks and code navigation but remain cautious about correctness, security, and workflow disruptions. Vulnerability checks, auto-generated tests, and explanation features are especially valued. Researchers and educators employ LLM-based programming tools to streamline analysis, generate assessments, and create interactive teaching methods, though concerns persist about equity, academic integrity, and responsible classroom use.Across all groups, four HCI themes stand out. trust calibration is essential to help users understand both strengths and limitations. Cognitive load management improves when tools integrate seamlessly into workflows and provide context-aware assistance. Interface modalities matter, with value in combining inline completions and conversational explanations to support varied scenarios. Finally, balancing automation with user control ensures accountability and promotes critical engagement, meaning that users remain actively involved in evaluating, verifying, and refining AI-generated outputs rather than passively accepting them.These findings show that LLM-based programming tools are not inherently harmful; outcomes depend on how they are used and designed. For learners, risks arise when practice is bypassed, limiting skill growth. For professionals, challenges involve accuracy, security, and workflow integration. Effective use treats LLMs as collaborators that support reflection and experimentation rather than replacements for human reasoning. Students benefit when tools provide hints and guidance instead of complete solutions, encouraging deeper understanding.In conclusion, LLM-based programming tools present strong potential for advancing productivity, education, and research. Benefits include faster coding, improved learning, and streamlined teaching. Persistent challenges remain related to correctness, cognitive load, and trust. Future research should emphasize longitudinal studies of skill development and design strategies that improve transparency, context, and pedagogy. Ethical and legal considerations, including attribution, privacy, and access, must also be addressed. By positioning these tools as collaborative partners, the computing community can maximize their benefits while reducing risks for developers, educators, and researchers.","meta-analysis","AHFE International","","10.54941/ahfe1006934","https://consensus.app/papers/large-language-models-in-programming-a-metaanalysis-of-olivares-bennington/15dc29dbd9fe580c8c8edcc2fe70810c/"
"How far are AI-powered programming assistants from meeting developers' needs?","AI-powered programming assistants generally enhance task completion rates, reduce time, improve code quality, and increase self-perceived productivity, but their effectiveness varies based on task nature and user experience.","Xin Tan, Xiao Long, Xianjun Ni, Yinghao Zhu, Jing Jiang, Li Zhang",2024,6,"Recent In-IDE AI coding assistant tools (ACATs) like GitHub Copilot have significantly impacted developers' coding habits. While some studies have examined their effectiveness, there lacks in-depth investigation into the actual assistance process. To bridge this gap, we simulate real development scenarios encompassing three typical types of software development tasks and recruit 27 computer science students to investigate their behavior with three popular ACATs. Our goal is to comprehensively assess ACATs' effectiveness, explore characteristics of recommended code, identify reasons for modifications, and understand users' challenges and expectations. To facilitate the study, we develop an experimental platform that includes a data collection plugin for VSCode IDE and provides functions for screen recording, code evaluation, and automatic generation of personalized interview and survey questions. Through analysis of the collected data, we find that ACATs generally enhance task completion rates, reduce time, improve code quality, and increase self-perceived productivity. However, the improvement is influenced by both the nature of coding tasks and users' experience level. Notably, for experienced participants, the use of ACATs may even increase completion time. We observe that""edited line completion""is the most frequently recommended way, while""comments completion""and""string completion""have the lowest acceptance rates. The primary reasons for modifying recommended code are disparities between output formats and requirements, flawed logic, and inconsistent code styles. In terms of challenges and expectations, optimization of service access and help documentation is also concerned by participants except for functionality and performance. Our study provides valuable insights into the effectiveness and usability of ACATs, informing further improvements in their design and implementation.","","ArXiv","","10.48550/arxiv.2404.12000","https://consensus.app/papers/how-far-are-aipowered-programming-assistants-from-meeting-tan-long/a7618aa0e4cc5a3e8f03afeadf252daa/"
"Transforming Software Development: Evaluating the Efficiency and Challenges of GitHub Copilot in Real-World Projects","GitHub Copilot significantly reduces developer toil, saving up to 50% time in code documentation and repetitive tasks, but struggles with complex tasks and proprietary contexts.","Ruchika Pandey, Prabhat Singh, Raymond Wei, Shaila Shankar",2024,29,"Generative AI technologies promise to transform the product development lifecycle. This study evaluates the efficiency gains, areas for improvement, and emerging challenges of using GitHub Copilot, an AI-powered coding assistant. We identified 15 software development tasks and assessed Copilot's benefits through real-world projects on large proprietary code bases. Our findings indicate significant reductions in developer toil, with up to 50% time saved in code documentation and autocompletion, and 30-40% in repetitive coding tasks, unit test generation, debugging, and pair programming. However, Copilot struggles with complex tasks, large functions, multiple files, and proprietary contexts, particularly with C/C++ code. We project a 33-36% time reduction for coding-related tasks in a cloud-first software development lifecycle. This study aims to quantify productivity improvements, identify underperforming scenarios, examine practical benefits and challenges, investigate performance variations across programming languages, and discuss emerging issues related to code quality, security, and developer experience.","","ArXiv","","10.48550/arxiv.2406.17910","https://consensus.app/papers/transforming-software-development-evaluating-the-pandey-singh/dc5355621cca53b3af95a1030d0896c0/"
