Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
"Frankenstein, thematic analysis and generative artificial intelligence: Quality appraisal methods and considerations for qualitative research","The current version of Microsoft Copilot cannot be recommended for conducting thematic analyses, as it often produces fabricated quotes and broader representation compared to human researchers.","T. Jowsey, Peta Stapleton, Shawna Campbell, A. Davidson, Cher McGillivray, Isabella Maugeri, Megan Lee, Justin Keogh",2025,2,"To determine accuracy and efficiency of using generative artificial intelligence (GenAI) to undertake thematic analysis. With the increasing use of GenAI in data analysis, testing the reliability and suitability of using GenAI to conduct qualitative data analysis is needed. We propose a method for researchers to assess reliability of GenAI outputs using deidentified qualitative datasets. We searched three databases (United Kingdom Data Service, Figshare, and Google Scholar) and five journals (PlosOne, Social Science and Medicine, Qualitative Inquiry, Qualitative Research, Sociology Health Review) to identify studies on health-related topics, published prior to whereby: humans undertook thematic analysis and published both their analysis in a peer-reviewed journal and the associated dataset. We prompted a closed system GenAI (Microsoft Copilot) to undertake thematic analysis of these datasets and analysed the GenAI outputs in comparison with human outputs. Measures include time (GenAI only), accuracy, overlap with human analysis, and reliability of selected data and quotes. Five studies were identified that met our inclusion criteria. The themes identified by human researchers and Copilot showed minimal overlap, with human researchers often using discursive thematic analyses (40%) and Copilot focusing on thematic analysis (100%). Copilot's outputs often included fabricated quotes (58% SD = 45%) and none of the Copilot outputs provided participant spread by theme. Additionally, Copilot's outputs primarily drew themes and quotes from the first 2-3 pages of textual data, rather than from the entire dataset. Human researchers provided broader representation and accurate quotes (79% quotes were correct, SD = 27%). Based on these results, we cannot recommend the current version of Copilot for undertaking thematic analyses. This study raises concerns about the validity of both human-generated and GenAI-generated qualitative data analysis and reporting.","systematic review","PLOS One","1","10.1371/journal.pone.0330217","https://consensus.app/papers/frankenstein-thematic-analysis-and-generative-jowsey-stapleton/28ae4a86d0545b0d9fec22eda045dea1/"
"How Do Data Analysts Respond to AI Assistance? A Wizard-of-Oz Study","Data analysts respond positively to AI assistance in planning their analyses, with contextual factors influencing the usefulness of suggestions.","Ken Gu, Madeleine Grunde-McLaughlin, Andrew M. McNutt, Jeffrey Heer, Tim Althoff",2023,41,"Data analysis is challenging as analysts must navigate nuanced decisions that may yield divergent conclusions. AI assistants have the potential to support analysts in planning their analyses, enabling more robust decision making. Though AI-based assistants that target code execution (e.g., Github Copilot) have received significant attention, limited research addresses assistance for both analysis execution and planning. In this work, we characterize helpful planning suggestions and their impacts on analysts’ workflows. We first review the analysis planning literature and crowd-sourced analysis studies to categorize suggestion content. We then conduct a Wizard-of-Oz study (n=13) to observe analysts’ preferences and reactions to planning assistance in a realistic scenario. Our findings highlight subtleties in contextual factors that impact suggestion helpfulness, emphasizing design implications for supporting different abstractions of assistance, forms of initiative, increased engagement, and alignment of goals between analysts and assistants.","literature review","Proceedings of the 2024 CHI Conference on Human Factors in Computing Systems","","10.1145/3613904.3641891","https://consensus.app/papers/how-do-data-analysts-respond-to-ai-assistance-a-wizardofoz-gu-grunde-mclaughlin/f942ba2d1ef055159fc52df5b9d6b7c7/"
"A data-intelligence-intensive bioinformatics copilot system for large-scale omics research and scientific insights","Bio-Copilot, a data-intelligence-intensive bioinformatics copilot system, synergizes AI capabilities with human researchers to facilitate hypothesis-free exploratory research and inspire novel scientific insights in large-scale omics studies.","Yang Liu, Rongbo Shen, Lu Zhou, Qingyu Xiao, Jiao Yuan, Yixue Li",2025,4,"Advancements in high-throughput sequencing technologies and artificial intelligence (AI) offer unprecedented opportunities for groundbreaking discoveries in bioinformatics research. However, the challenges of exponential growth of omics data and the rapid development of AI technologies require automated big biological data analysis capability and interdisciplinary knowledge-driven scientific insight. Here, we propose a data-intelligence-intensive bioinformatics copilot (Bio-Copilot) system that synergizes AI capabilities with human researchers to facilitate hypothesis-free exploratory research and inspire novel scientific insights in large-scale omics studies. Bio-Copilot forms high-quality intensive intelligence through close collaboration between multiple agents, driven by large language models (LLMs), and human researchers. To augment the capabilities of Bio-Copilot, this study devises an agent group management strategy, an effective human-agent interaction mechanism, a shared interdisciplinary knowledge database, and continuous learning strategies for the agents. We comprehensively compare Bio-Copilot against GPT-4o and several leading AI agents across diverse bioinformatics tasks, using a broad range of evaluation metrics. Bio-Copilot achieves overall state-of-the-art performance across all tasks, while showcasing exceptional task completeness. Furthermore, on application to constructing a large-scale human lung cell atlas, Bio-Copilot not only reproduces the intricate data integration process detailed in a seminal study but also introduces a recursive, multilevel annotation strategy to capture the continuous nature of cellular states and uncovers the characteristics of rare cell types, highlighting its potential to unravel hidden complexities in biological systems. Beyond the technical achievements, this study also underscores the profound implications of integrating AI capabilities with expert knowledge in accelerating impactful biological discoveries and exploring uncharted territories.","","Briefings in Bioinformatics","1","10.1093/bib/bbaf312","https://consensus.app/papers/a-dataintelligenceintensive-bioinformatics-copilot-liu-shen/a426cc30e2855a91aae64ca8b07faa87/"
"Response accuracy of ChatGPT 3.5 Copilot and Gemini in interpreting biochemical laboratory data a pilot study","Copilot is more accurate in interpreting biochemical data than Gemini and ChatGPT-3.5, with consistent responses across different data subsets.","A. Kaftan, Majid Kadhum Hussain, Farah H. Naser",2024,39,"With the release of ChatGPT at the end of 2022, a new era of thinking and technology use has begun. Artificial intelligence models (AIs) like Gemini (Bard), Copilot (Bing), and ChatGPT-3.5 have the potential to impact every aspect of our lives, including laboratory data interpretation. To assess the accuracy of ChatGPT-3.5, Copilot, and Gemini responses in evaluating biochemical data. Ten simulated patients' biochemical laboratory data, including serum urea, creatinine, glucose, cholesterol, triglycerides, low-density lipoprotein (LDL-c), and high-density lipoprotein (HDL-c), in addition to HbA1c, were interpreted by three AIs: Copilot, Gemini, and ChatGPT-3.5, followed by evaluation with three raters. The study was carried out using two approaches. The first encompassed all biochemical data. The second contained only kidney function data. The first approach indicated Copilot to have the highest level of accuracy, followed by Gemini and ChatGPT-3.5. Friedman and Dunn's post-hoc test revealed that Copilot had the highest mean rank; the pairwise comparisons revealed significant differences for Copilot vs. ChatGPT-3.5 (P = 0.002) and Gemini (P = 0.008). The second approach exhibited Copilot to have the highest accuracy of performance. The Friedman test with Dunn's post-hoc analysis showed Copilot to have the highest mean rank. The Wilcoxon Signed-Rank Test demonstrated an indistinguishable response (P = 0.5) of Copilot when all laboratory data were applied vs. the application of only kidney function data. Copilot is more accurate in interpreting biochemical data than Gemini and ChatGPT-3.5. Its consistent responses across different data subsets highlight its reliability in this context.","","Scientific Reports","1","10.1038/s41598-024-58964-1","https://consensus.app/papers/response-accuracy-of-chatgpt-35-copilot-and-gemini-in-kaftan-hussain/c907fe0c6fce5b2cb1e377894462b5eb/"
"The Role of ChatGPT in Data Science: How AI-Assisted Conversational Interfaces Are Revolutionizing the Field","ChatGPT can enhance productivity and accuracy in data science workflows by automating various tasks and providing new insights, but may not perform well on certain tasks unless specifically trained for them.","Hossein Hassani, E. Silva",2023,311,"ChatGPT, a conversational AI interface that utilizes natural language processing and machine learning algorithms, is taking the world by storm and is the buzzword across many sectors today. Given the likely impact of this model on data science, through this perspective article, we seek to provide an overview of the potential opportunities and challenges associated with using ChatGPT in data science, provide readers with a snapshot of its advantages, and stimulate interest in its use for data science projects. The paper discusses how ChatGPT can assist data scientists in automating various aspects of their workflow, including data cleaning and preprocessing, model training, and result interpretation. It also highlights how ChatGPT has the potential to provide new insights and improve decision-making processes by analyzing unstructured data. We then examine the advantages of ChatGPT’s architecture, including its ability to be fine-tuned for a wide range of language-related tasks and generate synthetic data. Limitations and issues are also addressed, particularly around concerns about bias and plagiarism when using ChatGPT. Overall, the paper concludes that the benefits outweigh the costs and ChatGPT has the potential to greatly enhance the productivity and accuracy of data science workflows and is likely to become an increasingly important tool for intelligence augmentation in the field of data science. ChatGPT can assist with a wide range of natural language processing tasks in data science, including language translation, sentiment analysis, and text classification. However, while ChatGPT can save time and resources compared to training a model from scratch, and can be fine-tuned for specific use cases, it may not perform well on certain tasks if it has not been specifically trained for them. Additionally, the output of ChatGPT may be difficult to interpret, which could pose challenges for decision-making in data science applications.","","Big Data Cogn. Comput.","2","10.3390/bdcc7020062","https://consensus.app/papers/the-role-of-chatgpt-in-data-science-how-aiassisted-hassani-silva/b5882315a69c50ff8cd56bf748cbb962/"
"CS1-LLM: Integrating LLMs into CS1 Instruction","Integrating Large Language Models (LLMs) into CS1 courses can enhance student learning and creativity by focusing on skills needed to successfully produce software using an LLM.","Annapurna Vadaparty, Daniel Zingaro, David H. Smith IV, Mounika Padala, Christine Alvarado, Jamie Gorson Benario, Leo Porter",2024,59,"The recent, widespread availability of Large Language Models (LLMs) like ChatGPT and GitHub Copilot may impact introductory programming courses (CS1) both in terms of what should be taught and how to teach it. Indeed, recent research has shown that LLMs are capable of solving the majority of the assignments and exams we previously used in CS1. In addition, professional software engineers are often using these tools, raising the question of whether we should be training our students in their use as well. This experience report describes a CS1 course at a large research-intensive university that fully embraces the use of LLMs from the beginning of the course. To incorporate the LLMs, the course was intentionally altered to reduce emphasis on syntax and writing code from scratch. Instead, the course now emphasizes skills needed to successfully produce software with an LLM. This includes explaining code, testing code, and decomposing large problems into small functions that are solvable by an LLM. In addition to frequent, formative assessments of these skills, students were given three large, open-ended projects in three separate domains (data science, image processing, and game design) that allowed them to showcase their creativity in topics of their choosing. In an end-of-term survey, students reported that they appreciated learning with the assistance of the LLM and that they interacted with the LLM in a variety of ways when writing code. We provide lessons learned for instructors who may wish to incorporate LLMs into their course.","","Proceedings of the 2024 on Innovation and Technology in Computer Science Education V. 1","","10.1145/3649217.3653584","https://consensus.app/papers/cs1llm-integrating-llms-into-cs1-instruction-vadaparty-zingaro/de2e85a51256598d95999ee98d7cc9c0/"
"Designing Human–AI Hand-Offs: Copilot in Hybrid Workflows","Well-designed human-AI hand-offs in hybrid workflows lead to higher adoption rates, improved decision quality, and higher return on investment compared to solely focusing on automation.","Sarat Piridi",2025,0,"Human-AI collaboration in enterprise settings hinges on the critical moment of transition between automated systems and human decision-makers. These hand-off points determine the success of hybrid workflows across industries, from financial services to government operations. The design of these interfaces requires thoughtful consideration of technical, governance, and organizational factors. Effective implementations maintain contextual awareness during transitions, provide clear accountability mechanisms, and establish feedback loops that enable continuous improvement. Organizations implementing well-designed hand-off protocols experience greater adoption rates, improved decision quality, and higher return on investment compared to those focusing solely on automation. By framing AI as an augmenting partner rather than a replacement, enterprises can build trust, maximize efficiency, and continuously refine their systems through real-world usage data, ultimately creating more resilient and effective hybrid workflows.","","Journal of Computer Science and Technology Studies","","10.32996/jcsts.2025.7.5.66","https://consensus.app/papers/designing-human%E2%80%93ai-handoffs-copilot-in-hybrid-workflows-piridi/05084c5ed1e958caaa3c8104218788c9/"
"Transforming Software Development with Generative AI: Empirical Insights on Collaboration and Workflow","Generative AI tools like ChatGPT and Copilot revolutionize software development workflows, enabling more efficient work, faster learning, and increased motivation, while transforming teamwork collaboration.","Rasmus Ulfsnes, N. Moe, V. Stray, Marianne Skarpen",2024,31,"Generative AI (GenAI) has fundamentally changed how knowledge workers, such as software developers, solve tasks and collaborate to build software products. Introducing innovative tools like ChatGPT and Copilot has created new opportunities to assist and augment software developers across various problems. We conducted an empirical study involving interviews with 13 data scientists, managers, developers, designers, and frontend developers to investigate the usage of GenAI. Our study reveals that ChatGPT signifies a paradigm shift in the workflow of software developers. The technology empowers developers by enabling them to work more efficiently, speed up the learning process, and increase motivation by reducing tedious and repetitive tasks. Moreover, our results indicate a change in teamwork collaboration due to software engineers using GenAI for help instead of asking co-workers which impacts the learning loop in agile teams.","","ArXiv","","10.48550/arxiv.2405.01543","https://consensus.app/papers/transforming-software-development-with-generative-ai-ulfsnes-moe/14d4c52c79ec5e10b8902e1da5bf6c93/"
"Demystifying Practices, Challenges and Expected Features of Using GitHub Copilot","GitHub Copilot is a useful tool for auto-completed source code, but integration challenges hinder its widespread use, and more IDE integration is desired.","Beiqi Zhang, Peng Liang, Xiyu Zhou, Aakash Ahmad, Muhammad Waseem",2023,24,"With the advances in machine learning, there is a growing interest in AI-enabled tools for autocompleting source code. GitHub Copilot has been trained on billions of lines of open source GitHub code, and is one of such tools that has been increasingly used since its launch in June 2021. However, little effort has been devoted to understanding the practices, challenges, and expected features of using Copilot in programming for auto-completed source code from the point of view of practitioners. To this end, we conducted an empirical study by collecting and analyzing the data from Stack Overflow (SO) and GitHub Discussions. We searched and manually collected 303 SO posts and 927 GitHub discussions related to the usage of Copilot. We identified the programming languages, Integrated Development Environments (IDEs), technologies used with Copilot, functions implemented, benefits, limitations, and challenges when using Copilot. The results show that when practitioners use Copilot: (1) The major programming languages used with Copilot are JavaScript and Python, (2) the main IDE used with Copilot is Visual Studio Code, (3) the most common used technology with Copilot is Node.js, (4) the leading function implemented by Copilot is data processing, (5) the main purpose of users using Copilot is to help generate code, (6) the significant benefit of using Copilot is useful code generation, (7) the main limitation encountered by practitioners when using Copilot is difficulty of integration, and (8) the most common expected feature is that Copilot can be integrated with more IDEs. Our results suggest that using Copilot is like a double-edged sword, which requires developers to carefully consider various aspects when deciding whether or not to use it. Our study provides empirically grounded foundations that could inform developers and practitioners, as well as provide a basis for future investigations.","","ArXiv","3","10.48550/arxiv.2309.05687","https://consensus.app/papers/demystifying-practices-challenges-and-expected-features-zhang-liang/79592e8bbd2552b0bf13fb84fcdb0392/"
"Six Opportunities for Scientists and Engineers to Learn Programming Using AI Tools Such as ChatGPT","AI tools like ChatGPT and GitHub Copilot can help scientists and engineers learn programming skills relevant to their jobs, including creating customized tutorials, learning complex data visualization libraries, and refactoring exploratory code.","Philip J. Guo, Ryan Cooper",2023,19,"This article demonstrates how scientists and engineers can use modern artificial intelligence (AI) tools such as ChatGPT and GitHub Copilot to learn computer programming skills that are relevant to their jobs. It begins by summarizing common ways that AI tools can already help people learn programming in general and then presents six new opportunities catered to the needs of scientists and engineers: 1) create customized programming tutorials for one’s own domain of work, 2) learn complex data visualization libraries, 3) learn to refactor exploratory code into more maintainable software, 4) learn about inherited legacy code, 5) learn new programming languages on demand within the context of one’s workflow, and 6) question the assumptions that one’s scientific code is making. Taken together, these opportunities point toward a future where AI can help scientists and engineers learn programming on demand within the context of their existing real-world workflows.","","Computing in Science & Engineering","","10.1109/mcse.2023.3308476","https://consensus.app/papers/six-opportunities-for-scientists-and-engineers-to-learn-guo-cooper/4c0fc3abb235577cbb6b794679eda568/"
