article_ID,relevance_score_nebius,relevance_score_openai,mean,std
g-q2-p2-04,0.40,0.55,0.48,0.08
g-q2-p2-05,0.50,0.95,0.72,0.22
g-q2-p2-06,0.30,0.55,0.43,0.13
g-q2-p2-07,0.40,0.72,0.56,0.16
g-q2-p2-08,0.40,0.78,0.59,0.19
g-q2-p2-09,0.35,0.78,0.56,0.22
g-q2-p3-02,0.35,0.78,0.56,0.22
g-q2-p3-03,0.40,0.55,0.48,0.08
g-q2-p3-04,0.50,0.72,0.61,0.11
g-q2-p3-06,0.15,0.55,0.35,0.20
g-q2-p3-07,0.35,0.72,0.53,0.18
g-q2-p3-08,0.40,0.55,0.48,0.08
g-q2-p3-09,0.30,0.25,0.28,0.02
g-q2-p3-10,0.15,0.35,0.25,0.10
g-q3-p1-01,0.90,0.86,0.88,0.02
g-q3-p1-04,0.10,0.35,0.22,0.12
g-q3-p1-07,0.40,0.95,0.68,0.27
g-q3-p1-08,0.40,0.92,0.66,0.26
g-q3-p1-09,0.85,0.98,0.92,0.07
g-q3-p2-01,0.40,0.78,0.59,0.19
g-q3-p2-02,0.60,0.78,0.69,0.09
g-q3-p2-03,0.70,0.86,0.78,0.08
g-q3-p2-07,0.10,0.15,0.12,0.02
g-q3-p2-08,0.00,0.05,0.03,0.03
g-q3-p2-09,0.30,0.78,0.54,0.24
g-q3-p3-01,0.15,0.55,0.35,0.20
g-q3-p3-02,0.40,0.78,0.59,0.19
g-q3-p3-04,0.95,0.92,0.94,0.01
g-q3-p3-08,0.50,0.35,0.42,0.08
g-q3-p3-09,0.50,0.78,0.64,0.14
s-q1-p1-01,0.10,0.55,0.33,0.23
s-q1-p1-03,0.20,0.25,0.23,0.02
s-q1-p1-04,0.10,0.55,0.33,0.23
s-q1-p1-05,0.40,0.55,0.48,0.08
s-q1-p1-06,0.15,0.25,0.20,0.05
s-q1-p1-07,0.15,0.15,0.15,0.00
s-q1-p1-08,0.40,0.25,0.33,0.08
s-q1-p1-09,0.45,0.78,0.61,0.17
s-q1-p1-10,0.05,0.25,0.15,0.10
s-q1-p2-01,0.35,0.55,0.45,0.10
s-q1-p2-02,0.45,0.35,0.40,0.05
s-q1-p2-03,0.05,0.86,0.46,0.41
s-q1-p2-04,0.15,0.35,0.25,0.10
s-q1-p2-05,0.15,0.08,0.11,0.03
s-q1-p2-06,0.05,0.15,0.10,0.05
s-q1-p2-07,0.35,0.25,0.30,0.05
s-q1-p2-08,0.05,0.55,0.30,0.25
s-q1-p2-09,0.05,0.05,0.05,0.00
s-q1-p2-10,0.40,0.25,0.33,0.08
s-q1-p3-01,0.30,0.35,0.32,0.02
s-q1-p3-02,0.15,0.25,0.20,0.05
s-q1-p3-03,0.40,0.78,0.59,0.19
s-q1-p3-04,0.15,0.55,0.35,0.20
s-q1-p3-05,0.35,0.35,0.35,0.00
s-q1-p3-06,0.30,0.25,0.28,0.02
s-q1-p3-08,0.25,0.35,0.30,0.05
s-q1-p3-09,0.15,0.25,0.20,0.05
s-q1-p3-10,0.25,0.95,0.60,0.35
s-q2-p1-01,0.40,0.86,0.63,0.23
s-q2-p1-02,0.25,0.78,0.52,0.27
s-q2-p1-04,0.40,0.85,0.62,0.22
s-q2-p1-05,0.40,0.78,0.59,0.19
s-q2-p1-07,0.30,0.55,0.43,0.13
s-q2-p1-08,0.35,0.55,0.45,0.10
s-q2-p1-09,0.50,0.78,0.64,0.14
s-q2-p1-10,0.40,0.98,0.69,0.29
s-q2-p2-01,0.40,0.95,0.68,0.27
s-q2-p2-02,0.50,0.55,0.53,0.03
s-q2-p2-03,0.50,0.55,0.53,0.03
s-q2-p2-04,0.60,0.86,0.73,0.13
s-q2-p2-05,0.45,0.78,0.61,0.17
s-q2-p2-06,0.35,0.25,0.30,0.05
s-q2-p2-07,0.40,0.78,0.59,0.19
s-q2-p2-08,0.50,0.55,0.53,0.03
s-q2-p2-09,0.40,0.72,0.56,0.16
s-q2-p2-10,0.50,0.92,0.71,0.21
s-q2-p3-01,0.40,0.72,0.56,0.16
s-q2-p3-02,0.30,0.55,0.43,0.13
s-q2-p3-03,0.40,0.85,0.62,0.22
s-q2-p3-04,0.40,0.55,0.48,0.08
s-q2-p3-06,0.50,0.78,0.64,0.14
s-q2-p3-07,0.50,0.55,0.53,0.03
s-q2-p3-08,0.10,0.78,0.44,0.34
s-q2-p3-09,0.15,0.92,0.54,0.39
s-q2-p3-10,0.50,0.98,0.74,0.24
s-q3-p1-01,0.35,0.55,0.45,0.10
s-q3-p1-02,0.60,0.85,0.72,0.12
s-q3-p1-03,0.85,0.98,0.92,0.07
s-q3-p1-04,0.20,0.95,0.57,0.37
s-q3-p1-05,0.70,0.98,0.84,0.14
s-q3-p1-06,0.55,0.98,0.77,0.21
s-q3-p1-07,0.35,0.55,0.45,0.10
s-q3-p1-08,0.85,0.92,0.89,0.04
s-q3-p1-09,0.60,0.92,0.76,0.16
s-q3-p1-10,0.10,0.12,0.11,0.01
s-q3-p2-01,0.50,0.92,0.71,0.21
s-q3-p2-02,0.35,0.55,0.45,0.10
s-q3-p2-03,0.35,0.55,0.45,0.10
s-q3-p2-04,0.15,0.35,0.25,0.10
s-q3-p2-05,0.40,0.78,0.59,0.19
s-q3-p2-06,0.10,0.25,0.17,0.07
s-q3-p2-07,0.50,0.78,0.64,0.14
s-q3-p2-09,0.40,0.35,0.38,0.03
s-q3-p2-10,0.25,0.35,0.30,0.05
s-q3-p3-01,0.10,0.35,0.22,0.12
s-q3-p3-03,0.95,0.98,0.96,0.02
s-q3-p3-04,0.40,0.78,0.59,0.19
s-q3-p3-06,0.40,0.72,0.56,0.16
s-q3-p3-07,0.60,0.86,0.73,0.13
s-q3-p3-09,0.20,0.55,0.38,0.18
s-q3-p3-10,0.50,0.78,0.64,0.14
