article_ID,requirement_type,requirement,exact_text_quote
a-02,functional,The system shall provide human-in-the-loop support for critical tasks.,"AI with a human in the loop, especially for critical tasks."
a-03,functional,The system shall integrate fine-grained learning analytics with large language model-based tutoring directly within a Jupyter Notebook environment.,designed to integrate fine-grained Learning Analytics (LA) with Large Language Model (LLM)-based tutoring directly within a Jupyter Notebook environment.
a-03,functional,"The system shall capture fine-grained interaction data, including code edits, executions, errors, and chat, for learning analytics and context-aware AI.","Capture fine-grained interaction data (code edits, executions, errors, chat) as the foundation for LA and context-aware AI"
a-03,functional,"The system shall provide LLMs with immediate context from logged data, including recent code, errors, conversation history, and task goals.","Leverage logged data to provide LLMs with immediate context (recent code, errors, conversation history, task goals) to improve relevance and mitigate generic responses"
a-03,functional,The system shall allow instructors to configure AI behaviour through system prompts and intervention strategies.,"Allow instructors to configure AI behaviour (via system prompts, intervention strategies) to align with learning objectives and enable adaptive scaffolding based on student activity"
a-03,functional,"The system shall support modular and independently designed components for logging, learning analytics, and LLM interaction.","Design components (logging, LA, LLM interaction) independently to facilitate updates, integration of new techniques, and research experimentation."
a-03,functional,The system shall support multiple concurrent users efficiently while ensuring data isolation and privacy.,"Support multiple concurrent users efficiently while ensuring data isolation and privacy, particularly when using local LLMs."
a-03,functional,The system shall include a JupyterLab extension for the AI tutor interface.,It includes the Jupyter-Chat[Footnote 3](#Fn3) extension for the AI tutor interface
a-03,functional,"The system shall include a JupyterLab extension for capturing detailed telemetry such as keystrokes, cell executions, errors, and UI interactions.","the JupyterLab-Pioneer[Footnote 4](#Fn4) extension for capturing detailed telemetry (keystrokes, cell executions, errors, UI interactions)."
a-03,functional,The system shall preprocess student chat messages by enriching them with immediate context before forwarding them.,"An Interaction Handler within this container preprocesses student chat messages, enriching them with immediate context (e.g., recent edits and errors, task objective) before forwarding them."
a-03,functional,The system shall process incoming telemetry logs and chat data for learning analytics and real-time analysis.,"It contains the Learning Analytics Module, which processes incoming telemetry logs and chat data, potentially storing them or making them available for real-time analysis."
a-03,functional,The system shall retrieve relevant conversation history and context from the learning analytics module when constructing prompts.,responsible for retrieving relevant conversation history and context from the LA module
a-03,functional,The system shall apply instructor-defined pedagogical rules or scaffolding logic when constructing the final prompt.,"applying instructor-defined pedagogical rules or scaffolding logic (e.g., modifying prompts based on recent student errors or help-seeking patterns), constructing the final prompt"
a-03,functional,The system shall manage communication with the language model server.,and managing communication with the LLM Server.
a-03,functional,"The system shall manage user authentication, spawn individual user notebook containers, and handle proxying for multi-user deployment.","Manages user authentication, spawns individual User Notebook Containers, and handles proxying, enabling multi-user deployment."
a-03,functional,The system shall provide an interface to the chosen language model and support local open-source LLMs.,Provides the interface to the chosen language model. JELAI uses Ollama to support various local open-source LLMs
a-03,functional,The system shall be configurable to connect to external APIs compatible with the OpenAI standard.,but can also be configured to connect to external APIs compatible with the OpenAI standard.
a-03,functional,The system shall log student code interactions and chat messages.,It logged student code interactions and chat messages with an LLM tutor (Llama3.1-70b).
a-03,functional,The system shall support A/B testing of AI configurations by logging interactions for different groups.,JELAI facilitated the comparison by logging interactions for both groups and automated classification of learners.
a-03,functional,The system shall support real-time behaviour analysis and rapid A/B testing of prompt designs without infrastructure changes.,"Together, the pilots confirm that JELAI sustains realtime responsiveness, surfaces actionable helpseeking signals, and enables real-time behaviour analysis and rapid A/B testing of prompt designs without infrastructure changes."
a-03,non-functional,The system shall be open-source.,"JELAI, an open-source platform architecture"
a-03,non-functional,"The system shall be modular, containerized, and extensible.","JELAI employs a modular, containerized design"
a-03,non-functional,The system shall be deployed using docker-compose to simplify setup and ensure user isolation for scalability and privacy.,"JELAI is deployed using docker-compose, simplifying setup and ensuring user isolation for scalability and privacy."
a-03,non-functional,The system shall sustain real-time responsiveness.,"Together, the pilots confirm that JELAI sustains realtime responsiveness"
a-03,non-functional,The system shall support low per-user resource consumption.,"with low per-user resource consumption (CPU < 0.25 cores, RAM 400MB steady state), indicating potential for scalability."
a-04,functional,The system shall search and explore existing literature when given a prompt.,The AI assistant is expected to search and explore existing literature when given a prompt.
a-04,functional,"The system shall extract information from text and nontextual material such as figures, graphics, images, and videos.","When searching for an answer, the assistant may need to extract information not only from text but also from nontextual material such as figures, graphics, images, and videos, among other sources."
a-04,functional,The system shall provide accurate answers even when the matter is unresolved.,"if a researcher demands a fact-checking procedure, the AI assistant must provide accurate answers even when the matter is unresolved."
a-04,functional,"The system shall measure how well the literature agrees with a given reply, including disagreements and lack of consensus.","This requires measuring how well the literature agrees with a given reply, to which extent there are disagreements, or whether there is a lack of consensus altogether."
a-04,functional,The system shall identify false information and highlight discrepancies.,These tools can assist in identifying false information and highlighting discrepancies.
a-04,functional,"The system shall ingest available literature and use its writing ability to write summaries, reviews, and surveys.","We propose that our AI assistant should ingest the available literature and use its writing ability to write summaries, reviews, and surveys."
a-04,functional,The system shall summarize text to distinct audiences and gradually refine descriptions at different levels of abstraction.,"An essential feature of this functionality would be the ability to summarize text to distinct audiences and gradually refine the descriptions at different levels of abstraction,"
a-04,functional,"The system shall write tables, mathematical equations, and images.","Additional desired features would be the ability to write tables, write mathematical equations, and produce images,"
a-04,functional,The system shall support ideation and brainstorming for researchers.,Abilities like support to ideation and brainstorming can aid in this planning and are some of the proven uses of LLMs.
a-04,functional,The system shall identify potential research directions that differ from existing ones.,it should include a specific feature to identify potential research directions that differ from existing ones.
a-04,functional,"The system shall perform coding operations, including reading uploaded files, extracting statistical information from CSV tables, and generating images and PowerPoint presentations with existing libraries.","ChatGPT Plus can be attached to a Python runtime, allowing it to perform any coding operation, such as reading uploaded files, extracting statistical information from CSV tables, and generating images and PowerPoint presentations with existing libraries."
a-04,functional,"The system shall collect existing data, reason about existing materials, summarize current findings, and use such summaries to verify whether a nonexisting material can be synthesized.","With a proper physics-simulation plugin, the AI assistant we propose would be able to collect existing data about how to synthesize new materials from step (1), reason about the existing materials with step (2), summarize current findings with step (3), and use such summaries within the physics-simulation plugin to verify if any nonexisting material can be synthesized."
a-04,non-functional,The system shall have unlimited access to data.,"In describing the functionalities of the AI assistants, we assume they will have unlimited access to data."
a-04,non-functional,The system shall be knowledgeable about the type of method employed to acquire or generate the data and its information boundaries.,"the data’s nature matters to our AI assistant, and it must be “knowledgeable” about the type of method employed to acquire or generate the data and its information boundaries."
a-04,non-functional,The system shall include confidence or statistical relevancy with any result.,Any result should also include its confidence or statistical relevancy.
a-04,non-functional,The system shall be fully automated and support parallelization.,"This process will likely be time-consuming, but its fully automated nature and its potential for parallelization would provide researchers with novel theories or hypotheses that are ready to be tested, thus accelerating the standard research cycle."
a-05,functional,The system shall support generating code documentation from selected source code using a predefined prompt.,marking the code within the IDE's code editor and selecting the “Generate a comment” action from the context menu should suffice
a-05,functional,The system shall allow users to customize the predefined prompt to tailor the output format.,"A secondary feature allows developers to customize the predefined prompt via the “Edit default prompt” action, enabling them to tailor the tool output to their preferred format."
a-05,functional,The system shall automatically insert the generated documentation above the previously selected code.,The extension automatically inserts this documentation above the previously selected code.
a-05,functional,The system shall support a chat-like interaction in which users can enter ad-hoc prompts and receive generated comments.,"it needed to provide a user interface similar to the ChatGPT interface, allowing users to engage in a conversation with the software."
a-05,functional,The system shall support iterative refinement of generated documentation.,they understood the tools as support to iteratively refine the documentation.
a-05,functional,The system shall ask clarifying and contextual questions to support effective prompting.,"Each template could include instructions for the LLM to ask clarifying and contextual questions, e.g., related to the expected documentation style [40]."
a-05,functional,The system shall offer multiple code-related aspects that users can explore during the comprehension process.,vendors of IDE-integrated code comprehension tools should offer multiple code-related aspects that tool users can explore during the comprehension process.
a-05,functional,The system shall support personalized explanations of code on the fly.,but could also extend to explaining the code in a personalized way.
a-05,functional,The system shall support a variety of LLMs within a single tool.,"tool vendors should support a variety of LLMs within a single tool, including smaller, open-source models, to better meet the needs of organizations oper-ating with sensitive data and under specific constraints."
a-05,non-functional,The system shall generate concise and readable code documentation.,"our study indicates that developers are generally neither skilled (RQ1) nor inclined (RQ2) to effectively prompt an LLM in a way that it generates concise, readable code doc-umentation."
a-05,non-functional,The system shall generate documentation in a consistent format.,"Our results show that predefined prompts deliver code documentation of significantly higher quality than ad-hoc prompts, especially due to a consistent documentation format."
a-05,non-functional,The system shall generate documentation that is useful for developers and helpful for code comprehension.,"The documentation quality dimensions each provided a question and a five-point answer scale, addressing gram-matical correctness, readability, missing relevant information, unnecessary information presence, usefulness for developers, and helpfulness for code comprehension."
a-05,non-functional,The system shall minimize unnecessary information in generated documentation.,The predefined prompt tool consis-tently provided concise Docstrings that participants perceived as more readable and contained less non-informative content compared to the output of the ad-hoc prompt tool.
a-05,non-functional,The system shall support generating documentation quickly.,"Generating code documentation with this model took, on average, four seconds."
a-05,non-functional,The system shall provide a reliable way to generate comments.,"Participants praised the predefined prompt tool for facilitating the workflow (three students, one professional) and code comprehension (four students), as well as for its reliability (two profession-als)."
a-05,non-functional,The system shall support data security by allowing locally deployed or locally stored model access credentials.,using a locally deployed API for data security (one professional).
a-06,functional,The system shall translate high-level user intentions into executable code for data analysis tasks.,translating high-level user intentions into executable code
a-06,functional,The system shall support multiple stages of the data analysis process.,support each individual stage of the data analysis process
a-06,functional,The system shall assist users in finding required data.,aiding users in finding required data
a-06,functional,The system shall help users ensure that analyses maintain statistical rigor.,ensuring analyses maintain statistical rigor
a-06,functional,The system shall assist users in hypothesis exploration and refinement.,assisting in hypothesis exploration and refinement
a-06,functional,The system shall support personalized report generation.,personalized report generation
a-06,functional,The system shall allow users to verify and debug outputs.,infrastructure that allows end-users to verify and debug the outputs from these AI tools
a-06,functional,"The system shall support code generation for data cleaning, transformation, and visualization.","LLMs for code generation in tasks like data cleaning, transformation, and visualization"
a-06,functional,The system shall support iterative exploration as a first-class interaction.,supporting iterative exploration as a first-class interaction
a-06,functional,The system shall reuse previously generated code and data to generate new results.,The system’s agents reuse previously generated code and data to generate new results
a-06,functional,The system shall organize interaction history so users can manage an analysis session.,The system organizes the user’s interaction history as data threads
a-06,functional,"The system shall enable users to locate existing plots for refinement, branch from previous steps, and backtrack to correct mistakes.","Data threads enable users to easily locate existing plots for refinement, branch out from previous steps to explore alternatives, or backtrack to correct mistakes"
a-06,functional,The system shall generate multiple chart or transformation candidates for the same user intent.,Data Formulator creates multiple chart/transformation candidates based on the user’s intent
a-06,functional,The system shall provide code explanations to help users understand generated outputs.,It allows users to inspect these candidates via their code and a few examples
a-06,functional,The system shall combine data transformations and visualization authoring into a single tool.,Data Formulator combines both data transformations and visualization authoring into a single tool
a-06,functional,The system shall support multi-modal inputs for specifying user intent.,supports multi-modal inputs
a-06,functional,The system shall allow users to specify intent using a combination of graphical widgets and natural language inputs.,Data Formulator combines graphical widgets and natural language inputs to let users specify their intent more clearly with less overhead compared to using just natural language interface
a-06,functional,The system shall dynamically generate widgets to support chart editing intents.,"the system dynamically generates widgets (e.g., color pickers) on the fly"
a-06,functional,"The system shall support users in interacting with intermediate artifacts, exploring variations, and integrating them gradually.","users might find it necessary/beneficial to interact with intermediate artifacts, explore variations, and integrate them gradually"
a-06,functional,The system shall support multi-step interactions during analysis.,Human-AI interaction is often a multi-step process
a-06,functional,The system shall support non-linear interactions such as branching and backtracking.,Threads and tree like representations can be used for non-linear interactions
a-06,functional,"The system shall provide probing mechanisms that allow users to ask follow-up questions, intervene, and modify specific parts.","the need for AI systems to support probing mechanisms, offering interfaces that allow users to ask follow-up questions, intervene and modify specific parts, and provide clear explanations of the AI’s processes and decisions"
a-06,functional,The system shall support code review or editing as part of verification of data transformations.,"verifying data transformations may require more than visual inspection, requiring code review or editing"
a-06,functional,The system shall support provenance analysis for selected data points.,conducting provenance analysis for selected data points
a-06,functional,The system shall provide interactive charts and what-if analyses to help users verify outcomes.,"interactive charts and what-if analyses allow users to quickly experiment with different parameters, helping them verify outcomes more effectively than by reading through extensive code"
a-06,functional,The system shall provide real-time visibility into agent actions and support checkpointing and interruptibility.,"provide real-time visibility into the actions of these agents, along with support for checkpointing and interruptibility"
a-06,functional,The system shall streamline data analysis by reducing the need to switch between separate tools.,eliminating the need to switch between separate tools for each step
a-06,functional,The system shall allow individual AI systems to share context and collectively solve or debug tasks across parts of the workflow.,"Individual AI systems for one part of the analysis workflow should be able to talk to AI systems for the other parts, share their contexts, and collectively solve/debug tasks"
a-06,functional,The system shall automatically transfer context between applications in blended app workflows.,a blended app experience that transitions automatically and ports any necessary context from one tool (AI or non-AI based) to another can enhance the user experience drastically
a-06,functional,The system shall support tasks across multiple applications on the desktop.,performs tasks across multiple applications based on natural language commands from the user
a-06,functional,The system shall help users locate necessary datasets.,AI systems present an opportunity to help users locate the necessary datasets in such situations
a-06,functional,The system shall support data cleaning and integration from multiple sources.,AI systems can also help with data cleaning and integrating multiple datasets from different sources
a-06,functional,The system shall extract structured data from unstructured text sources for downstream analysis.,LLMs can address this by analyzing the text data to extract structured data such as sentiments and trends for downstream analysis
a-06,functional,The system shall generate dashboards and what-if analyses with minimal developer involvement.,facilitating the generation of dashboards and what-if analyses with minimal developer involvement
a-06,functional,The system shall tailor report content and format to different audiences and devices.,"can tailor the content and format of reports to suit various audiences and devices by dynamically adjusting tone, detail level, and emphasis"
a-06,functional,The system shall create artistic and aesthetically pleasing charts and infographics.,can help is by creating artistic and aesthetically pleasing charts and infographics
a-06,non-functional,The system shall be accurate and reliable.,This underscores the importance of accuracy and reliability in AI systems
a-06,non-functional,The system shall reduce latency in AI-driven analysis workflows.,These features enhance reliability and reduce latency in the AI-driven data visualization authoring process compared to the experience with the ChatGPT interface
a-06,non-functional,The system shall provide a consistent experience to users.,thus giving a consistent experience to users
a-06,non-functional,The system shall avoid fragmented and disconnected user experiences.,require novel techniques to avoid fragmented and disconnected experience for users
a-06,non-functional,The system shall support user trust.,build user trust
a-06,non-functional,The system shall support user verification of outputs.,enhancing users’ ability to understand and verify system outputs
a-06,non-functional,The system shall minimize cognitive load during verification.,the verification process should not impose a cognitive load comparable to or greater than that of a person performing the task by themselves
a-06,non-functional,The system shall improve reliability and stability of the analysis process.,ensuring system reliability and stability of the data analysis process
a-06,non-functional,"The system shall support robustness against hallucinations, prompt sensitivity, and instruction-following failures.","AI models are known to suffer from several issues such as hallucinations, sensitivity to prompts, failure to follow instructions"
a-06,non-functional,The system shall provide robust evaluation benchmarks and metrics.,establishing robust system benchmarking and evaluation metrics
a-06,non-functional,"The system shall support multimodality, planning, and personalization.","developing new models to support multimodality, planning, and personalization"
a-07,functional,The system shall help users find relevant data sources for data analysis.,"AI holds much potential, such as finding relevant data sources, proposing analysis strategies, and writing analysis code."
a-07,functional,The system shall help users propose analysis strategies for data analysis tasks.,"AI holds much potential, such as finding relevant data sources, proposing analysis strategies, and writing analysis code."
a-07,functional,The system shall write analysis code for data analysis tasks.,"AI holds much potential, such as finding relevant data sources, proposing analysis strategies, and writing analysis code."
a-07,functional,The system shall support authoring and debugging of data analysis scripts.,"Generative AI significantly advances the state of the art in facilitating the authoring and debugging of data analysis scripts, reuse of analysis workflows, comprehension of analysis scripts, learning, and exploration"
a-07,functional,The system shall support reuse of analysis workflows.,"Generative AI significantly advances the state of the art in facilitating the authoring and debugging of data analysis scripts, reuse of analysis workflows, comprehension of analysis scripts, learning, and exploration"
a-07,functional,The system shall support comprehension of analysis scripts.,"Generative AI significantly advances the state of the art in facilitating the authoring and debugging of data analysis scripts, reuse of analysis workflows, comprehension of analysis scripts, learning, and exploration"
a-07,functional,The system shall support learning during data analysis.,"Generative AI significantly advances the state of the art in facilitating the authoring and debugging of data analysis scripts, reuse of analysis workflows, comprehension of analysis scripts, learning, and exploration"
a-07,functional,The system shall support exploration during data analysis.,"Generative AI significantly advances the state of the art in facilitating the authoring and debugging of data analysis scripts, reuse of analysis workflows, comprehension of analysis scripts, learning, and exploration"
a-07,functional,The system shall help users generate hypotheses for data analysis.,"generative AI supports data analysis workflows in the information foraging loop by streamlining information gathering, and the sensemaking loop by helping users generate hypotheses and develop strategies to test them"
a-07,functional,The system shall help users develop strategies to test hypotheses.,"generative AI supports data analysis workflows in the information foraging loop by streamlining information gathering, and the sensemaking loop by helping users generate hypotheses and develop strategies to test them"
a-07,functional,The system shall help users build detailed prompts that contain the context needed for effective responses.,assisting users build detailed prompts that contain the context needed by AI to be effective
a-07,functional,The system shall help users verify AI responses.,"helping users verify AI responses, and better integration with feature-rich application workflows"
a-07,functional,The system shall integrate with feature-rich application workflows.,"helping users verify AI responses, and better integration with feature-rich application workflows"
a-07,functional,The system shall assist users in formulating effective queries.,"These included forming effective queries, giving context to the AI, long or vague responses causing information overload, and frustrations with the verification of generated results"
a-07,functional,The system shall assist users in specifying context.,"These included forming effective queries, giving context to the AI, long or vague responses causing information overload, and frustrations with the verification of generated results"
a-07,functional,The system shall help users generate step-by-step instructions when they ask how to perform a specific data analysis workflow.,"if the user asks how to perform a specific data analysis workflow, “step-by-step instructions” could be suggested"
a-07,functional,The system shall detect and flag ambiguous or missing context before producing a response.,Ambiguous or missing context could be detected and flagged before producing a response to avoid low quality responses.
a-07,functional,The system shall recommend output formats relevant to the user's request.,Output formats relevant to the user's request could be recommended as prompt addenda.
a-07,functional,The system shall generate and run tests to help detect failure cases in AI-generated code or formulas.,"To assist users in verifying AI-generated code or formulas, the system might generate and run tests to help detect failure cases."
a-07,functional,The system shall help users identify high-quality references.,"The system might share strategies with the user for identifying high quality references, or assist with specifying which types of references are suitable for supporting a particular response."
a-07,functional,The system shall assist users in specifying which types of references are suitable for supporting a particular response.,"The system might share strategies with the user for identifying high quality references, or assist with specifying which types of references are suitable for supporting a particular response."
a-07,functional,The system shall help users think critically about their data-driven decisions.,it can go further by helping users critically think about their data-driven decisions.
a-07,functional,The system shall accompany recommended approaches with critiques that outline their potential limitations.,the system could accompany its recommended approach with a critique of that approach outlining its potential limitations.
a-07,functional,The system shall identify when a user's data might not be able to answer the questions they are asking.,"The system could identify when a user's data might not be able to answer the questions they are asking, and recommend data collection strategies that would enable them to do so."
a-07,functional,The system shall recommend data collection strategies that would enable users to answer their questions.,"The system could identify when a user's data might not be able to answer the questions they are asking, and recommend data collection strategies that would enable them to do so."
a-07,functional,The system shall support integration within the applications users already use rather than requiring a separate experience.,"Participants described a desire to integrate generative AI within the feature-rich applications they already use, rather than a separate experience which requires context switching between generative AI and application."
a-07,functional,The system shall support sharing and reusing chat histories.,"P11 described the need for chat histories they could revisit and reuse “after months” away, to “pick up where we stopped last time and continue from there without redoing everything I did before”."
a-07,functional,The system shall support output in table form when that format is useful.,"P10 desired the data they received from Bing Chat to be in a table, which Bing Chat was able to provide after re-prompting."
a-07,functional,"The system shall support non-textual modalities such as videos, imagery, interactive maps, and other visualizations when appropriate.","Several participants saw videos, imagery, interactive maps, and other visualizations as improvements over purely textual output (P4, 10, 11, 13) depending on the problem being solved (P11)."
a-07,functional,The system shall support voice interaction when appropriate.,"P11 suggested that voice interaction would feel “more natural, like talking to a human assistant.”"
a-07,functional,The system shall provide citations or references to supporting sources.,Bing Chat provides references to the URLs from which it derives its responses using footnote-style superscripts (Figure [4](#fig4)).
a-07,functional,The system shall allow users to follow references to read the supporting web sources.,A user can follow the superscripts or the links to read the web sources.
a-07,functional,The system shall support verification of generated code or formulas by allowing users to test them directly on their data.,P2 would take generated Excel formulas and “test it directly” on their data
a-07,functional,The system shall support users in learning unfamiliar concepts by providing explanations and examples.,P9 said they would “just ask [Bing Chat] how to use pivot tables and for examples” to learn more about unfamiliar concepts that generative AI recommends.
a-07,functional,The system shall support incremental refinement of responses through iterative prompting.,"We noted that participants iterated with Bing Chat to incrementally build up an optimal response (Section [4.3](#sec-20)), by issuing a series of prompts to slightly refine the previous response, as opposed to building up a single detailed prompt to satisfy all the requirements."
a-07,non-functional,The system shall provide responses that are not overly verbose when concise output is needed.,"Bing Chat's responses were often lengthy, likely due to our choice of using Bing Chat's “creative mode” which is designed to be more verbose."
a-07,non-functional,The system shall provide responses that are readable and relevant to the user's goal.,Response inspection: the participant checks for readability and relevance to the goal.
a-07,non-functional,The system shall provide responses that are correct and of high quality.,"Participants also spoke about a need to verify generative AI responses for correctness, quality, and hallucinations."
a-07,non-functional,The system shall avoid hallucinations in generated output.,"Participants also spoke about a need to verify generative AI responses for correctness, quality, and hallucinations."
a-07,non-functional,The system shall produce output that is understandable for users with limited domain expertise.,"P3 complained about the level of technical detail in one of the responses, finding it “not easily understandable for someone who is being introduced or does not have much experience in statistics”."
a-07,non-functional,The system shall provide a good balance of information rather than being too sparse or too verbose.,"P12 expressed appreciation for responses that were “a good balance” of information “between bullet points and short paragraphs”, and “not just a two sentence answer that doesn't give any information.”"
a-07,non-functional,The system shall provide output in a useful format for comparison when users compare multiple items.,"P11 attempted to compare popular object detection models and their characteristics so they might choose the best one, but the initial reply was a bulleted list of several models and their characteristics, which made it difficult to compare between models."
a-07,non-functional,The system shall provide trustworthy sources.,"P9 checked if a reference was “a scholarly article or just a website”, preferring “trustable research” publications, and inspected the publication date to ensure recency."
a-07,non-functional,The system shall support low-effort verification of its outputs.,"Participants found that manually verifying sources was burdensome, and in some cases the work of verifying a response might be greater than the work required to conduct a web search manually"
c-q1-01,functional,The system shall suggest code and entire functions in real time based on context.,an AI pair programmer that suggests code and entire func- tions in real time based on context.
c-q1-01,functional,The system shall provide installation instructions to users when access is granted.,they also received an automated email with installation instructions for GitHub Copilot once granted access to the tool.
c-q1-01,functional,The system shall allow users to use external information sources while completing the task.,"participants were unconstrained in their software development —they could use any sources of information as they normally do, such as internet search and Stack Overﬂow."
c-q1-01,functional,The system shall support task completion measurement by recording the time from repository creation to the first commit that successfully passes all tests.,The time elapsed between the timestamp of repository creation and the timestamp of the ﬁrst commit to success- fully pass all 12 tests was counted as the participant’s task completion time.
c-q1-01,functional,The system shall provide a test suite that can be viewed by users but not altered by them.,Participants could see the tests but were unable to alter them.
c-q1-01,functional,The system shall automatically run tests on submitted code and report the number of passing tests.,"When participants committed and pushed their changes to GitHub, GitHub Classroom ran the test suite on their submission and reported the number of passing tests."
c-q1-01,functional,The system shall support repeated submissions and log a timestamp for each push.,"Participants could push as often as they pleased, automatically logging a timestamp each time."
